,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,109.63,101.17,80.95,108.41,163.76,328.33,10891.71,20249.76,28114.05,23998.26,41347.73,52838.01,99070.9,112268.93,254945.24,180770.82
e_1,70.24,110.2,81.25,123.22,161.53,375.67,14153.53,22009.9,39463.23,28539.67,48796.83,73161.54,116411.87,128985.15,278473.13,221350.45
d_1,75.29,70.47,125.55,87.83,148.19,362.55,11894.57,19189.51,20647.46,39988.37,51188.45,71484.49,99172.4,118009.31,249432.55,241567.48
c_1,64.78,61.24,79.25,145.11,234.15,374.89,9479.45,16954.11,20325.67,18387.79,27916.68,53275.25,85161.52,114034.67,224244.95,188683.25
b_1,55.16,54.18,74.1,68.4,215.19,482.73,9038.42,16474.78,19511.39,20191.79,27096.18,50718.23,62494.51,97167.36,203331.75,167477.17
a_1,46.1,41.3,54.58,58.57,90.07,426.95,7670.49,13482.77,15831.22,15893.35,25130.18,41793.56,50292.14,95470.62,167297.39,136459.55
h_1,21.45,16.64,20.45,26.25,36.28,79.43,3688.23,6043.58,6713.66,6399.01,10682.75,15553.4,22396.84,28115.46,75274.45,60629.39
g_1,13.24,14.02,22.17,21.06,30.28,75.09,2001.27,5840.21,4481.37,5351.56,8260.55,16187.56,17416.78,23141.68,53796.26,44310.3
d_0,13.67,11.72,14.35,30.11,35.07,67.75,2191.01,4306.63,6074.53,3756.5,7523.71,12074.11,20277.44,24869.42,52250.16,44204.15
c_0,15.45,14.8,14.33,20.6,27.06,64.75,2352.57,4423.57,5937.74,6323.78,13636.81,13883.11,22928.16,25466.08,51518.15,47321.09
b_0,13.64,11.53,13.85,19.26,25.3,49.04,1919.59,3948.14,4549.72,3789.47,8815.51,9815.31,26749.21,24118.26,48055.21,35931.02
f_0,10.2,9.98,12.3,16.56,24.51,53.36,1815.35,2903.59,4143.44,3674.96,6423.4,12337.05,14368.63,18494.34,37194.19,57252.67
a_0,10.26,8.83,11.02,13.62,20.11,39.93,1654.43,2982.09,3312.9,3094.47,5133.8,8504.97,17287.26,15673.58,36230.7,25843.47
h_0,11.16,9.37,11.17,12.75,19.35,35.11,1176.0,3188.53,2927.49,3021.66,4726.87,7968.72,11271.88,13714.64,40578.64,26367.36
g_0,7.2,6.56,10.04,10.08,15.3,36.24,1127.47,1777.2,2394.59,2465.16,3729.83,7962.7,9385.2,11472.43,23666.5,23430.37
e_0,8.16,6.81,8.32,11.14,14.88,34.84,1054.98,2249.53,2190.26,2578.63,4494.68,4718.9,10217.23,13027.59,26785.98,31544.3
