,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.89,0.2,0.14,0.21,0.17,0.12,0.17,0.3,0.13,0.17,0.14,0.14,0.16,0.13,0.13,0.05
f_1,0.4,0.89,0.17,0.16,0.13,0.07,0.12,0.18,0.1,0.15,0.13,0.05,0.15,0.09,0.13,0.05
d_1,0.18,0.21,0.89,0.15,0.15,0.11,0.18,0.08,0.12,0.28,0.17,0.16,0.17,0.1,0.14,0.09
c_1,0.17,0.18,0.18,0.89,0.28,0.11,0.16,0.18,0.12,0.06,0.11,0.12,0.17,0.08,0.13,0.1
b_1,0.17,0.17,0.2,0.17,0.88,0.22,0.15,0.16,0.11,0.15,0.05,0.15,0.14,0.07,0.11,0.1
a_1,0.17,0.19,0.2,0.21,0.17,0.87,0.15,0.18,0.12,0.19,0.15,0.16,0.15,0.04,0.11,0.09
h_1,0.21,0.31,0.24,0.2,0.16,0.12,0.56,0.24,0.21,0.19,0.14,0.16,0.1,0.13,0.27,0.12
d_0,0.24,0.22,0.09,0.42,0.2,0.13,0.19,0.43,0.13,0.14,0.18,0.16,0.23,0.11,0.15,0.11
g_1,0.19,0.2,0.36,0.22,0.17,0.09,0.18,0.18,0.56,0.17,0.18,0.29,0.21,0.14,0.1,0.13
c_0,0.22,0.27,0.22,0.17,0.18,0.14,0.2,0.25,0.16,0.4,0.36,0.17,0.23,0.14,0.17,0.12
b_0,0.29,0.26,0.19,0.25,0.11,0.07,0.24,0.22,0.18,0.17,0.44,0.21,0.27,0.3,0.17,0.1
f_0,0.19,0.12,0.28,0.26,0.22,0.13,0.23,0.22,0.18,0.18,0.17,0.42,0.23,0.14,0.21,0.26
h_0,0.26,0.31,0.22,0.25,0.21,0.1,0.12,0.2,0.21,0.17,0.19,0.17,0.11,0.13,0.19,0.13
a_0,0.23,0.26,0.28,0.22,0.17,0.04,0.23,0.23,0.18,0.18,0.17,0.22,0.29,0.39,0.22,0.13
g_0,0.19,0.21,0.38,0.22,0.22,0.13,0.15,0.18,0.09,0.22,0.17,0.27,0.2,0.11,0.14,0.14
e_0,0.12,0.29,0.3,0.23,0.17,0.11,0.2,0.21,0.15,0.21,0.21,0.18,0.25,0.14,0.18,0.38
