,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.95,0.42,0.44,0.5,0.37,0.27,0.32,0.3,0.26,0.45,0.29,0.28,0.23,0.25,0.15,0.2
f_1,0.68,0.95,0.46,0.43,0.38,0.26,0.28,0.26,0.25,0.26,0.25,0.15,0.2,0.2,0.12,0.19
d_1,0.48,0.53,0.95,0.33,0.39,0.29,0.35,0.28,0.45,0.18,0.3,0.25,0.21,0.25,0.2,0.2
c_1,0.47,0.48,0.54,0.94,0.66,0.3,0.33,0.27,0.14,0.25,0.26,0.24,0.21,0.22,0.19,0.23
b_1,0.53,0.52,0.53,0.35,0.94,0.56,0.37,0.32,0.29,0.28,0.15,0.26,0.17,0.28,0.21,0.21
a_1,0.58,0.61,0.54,0.53,0.36,0.93,0.43,0.38,0.41,0.35,0.33,0.32,0.21,0.35,0.21,0.28
h_1,0.66,1.03,0.73,0.66,0.47,0.43,0.76,0.6,0.45,0.39,0.38,0.38,0.34,0.29,0.29,0.35
g_1,0.76,0.72,0.99,0.72,0.51,0.42,0.45,0.76,0.46,0.48,0.4,0.55,0.3,0.38,0.36,0.28
c_0,0.81,0.97,0.77,0.69,0.59,0.39,0.57,0.52,0.68,0.51,0.74,0.5,0.39,0.47,0.37,0.38
d_0,0.73,0.76,0.61,1.31,0.66,0.4,0.56,0.51,0.37,0.67,0.44,0.44,0.36,0.45,0.35,0.4
b_0,0.81,0.92,0.89,0.79,0.52,0.36,0.68,0.56,0.41,0.47,0.66,0.41,0.74,0.52,0.37,0.41
f_0,0.72,0.85,0.91,0.76,0.68,0.51,0.64,0.48,0.53,0.54,0.6,0.64,0.44,0.52,0.74,0.41
a_0,0.88,1.02,0.95,0.78,0.81,0.42,0.65,0.59,0.59,0.47,0.41,0.5,0.63,0.53,0.41,0.33
h_0,0.82,1.27,1.0,0.83,0.7,0.42,0.54,0.64,0.53,0.52,0.45,0.42,0.41,0.37,0.39,0.46
e_0,0.67,1.41,0.88,0.81,0.81,0.7,0.72,0.51,0.56,0.52,0.52,0.34,0.41,0.56,0.65,0.5
g_0,0.84,0.96,1.33,0.8,0.82,0.44,0.66,0.52,0.62,0.45,0.55,0.69,0.56,0.5,0.35,0.35
