,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,1.0,0.98,0.88,1.03,1.51,2.73,16.98,33.64,25.47,39.79,29.81,39.92,65.52,118.8,,112.54
d_1,1.02,1.0,1.04,1.23,1.21,3.03,19.27,,35.26,21.77,35.31,35.7,84.43,57.51,106.11,98.46
f_1,1.14,0.97,1.0,1.12,1.22,3.12,16.3,20.83,23.28,25.09,34.68,,53.65,120.57,105.57,121.01
c_1,0.97,0.81,0.9,1.0,2.1,2.84,19.55,16.71,,24.26,30.94,48.09,62.91,79.79,108.37,97.17
b_1,0.66,0.83,0.82,0.48,1.0,,10.84,16.68,18.15,20.35,,23.76,53.65,49.18,49.29,76.32
a_1,0.37,0.33,0.32,0.35,,1.0,6.72,8.14,8.56,,11.98,14.43,19.61,24.75,,
h_1,0.06,0.05,0.06,0.05,0.09,0.15,1.0,1.8,1.97,2.21,1.66,2.07,,5.34,5.02,5.76
d_0,0.03,,0.05,0.06,0.06,0.12,0.55,1.0,1.02,1.04,1.67,1.28,2.6,3.43,2.86,4.83
c_0,0.04,0.03,0.04,,0.06,0.12,0.51,0.98,1.0,0.89,1.86,1.67,2.37,4.51,3.25,3.44
g_1,0.03,0.05,0.04,0.04,0.05,,0.45,0.96,1.13,1.0,1.34,2.35,1.67,,2.98,
b_0,0.03,0.03,0.03,0.03,,0.08,0.6,0.6,0.54,0.75,1.0,1.35,2.0,3.47,3.0,4.58
f_0,0.03,0.03,,0.02,0.04,0.07,0.48,0.78,0.6,0.43,0.74,1.0,1.55,1.8,3.19,2.42
h_0,0.02,0.01,0.02,0.02,0.02,0.05,,0.38,0.42,0.6,0.5,0.65,,1.75,1.09,1.18
g_0,0.01,0.02,0.01,0.01,0.02,0.04,0.19,0.29,0.22,,0.29,0.56,0.57,,0.93,1.15
e_0,,0.01,0.01,0.01,0.02,,0.2,0.35,0.31,0.34,0.33,0.31,0.92,1.07,1.0,
a_0,0.01,0.01,0.01,0.01,0.01,,0.17,0.21,0.29,,0.22,0.41,0.85,0.87,,1.0
