,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.26,0.86,0.9,0.92,0.73,0.58,0.67,0.59,0.58,0.67,0.55,0.52,0.48,0.46,0.54
e_1,0.79,1.0,0.97,1.14,0.99,0.86,0.74,0.75,0.93,0.64,0.58,0.72,0.6,0.61,0.59,0.58
d_1,1.18,1.02,1.0,0.94,0.93,0.77,0.72,0.53,0.7,0.84,0.69,0.59,0.61,0.63,0.63,0.5
c_1,1.1,0.88,1.06,1.0,1.24,0.79,0.75,0.72,0.49,0.54,0.54,0.53,0.63,0.6,0.56,0.5
b_1,1.08,1.02,1.09,0.81,1.0,1.4,0.75,0.64,0.7,0.74,0.72,0.69,0.69,0.51,0.55,0.61
a_1,1.37,1.15,1.29,1.26,0.71,1.0,0.97,0.91,0.78,0.76,0.86,0.78,0.73,0.7,0.68,0.72
h_1,1.74,1.34,1.42,1.36,1.34,1.04,1.0,1.05,0.87,0.94,0.92,0.86,0.77,0.69,0.82,0.94
g_1,1.47,1.36,1.94,1.42,1.47,1.13,0.94,1.0,0.83,0.86,0.97,1.07,0.73,0.92,0.87,0.77
d_0,1.57,1.08,1.45,2.06,1.44,1.34,1.16,1.13,1.0,0.83,0.89,0.97,0.97,0.82,0.91,0.89
c_0,1.65,1.6,1.19,1.75,1.31,1.21,1.08,1.15,1.17,1.0,1.37,1.01,1.03,1.1,0.77,1.0
b_0,1.49,1.76,1.35,1.84,1.54,1.12,1.09,1.02,1.2,0.76,1.0,0.92,0.89,1.31,0.83,0.81
f_0,1.71,1.36,1.72,1.8,1.47,1.35,1.16,0.94,1.0,1.02,1.02,1.0,0.93,1.08,1.35,0.79
h_0,1.9,1.63,1.66,1.59,1.41,1.37,1.29,1.37,1.03,0.94,1.16,1.07,1.0,0.86,0.87,1.08
a_0,1.92,1.68,1.59,1.76,1.95,1.43,1.51,1.18,1.25,0.94,0.83,0.95,1.14,1.0,1.03,0.99
e_0,2.13,1.65,1.58,1.67,1.91,1.6,1.26,1.18,1.04,1.24,1.18,0.77,1.13,0.91,1.0,0.93
g_0,1.88,1.72,2.02,1.91,1.7,1.4,1.06,1.35,1.11,1.02,1.29,1.27,0.94,0.96,1.09,1.0
