,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,5.72,0.14,0.06,0.08,0.07,0.07,0.24,0.42,0.34,0.38,,0.39,0.3,0.56,0.33,0.7
e_1,0.06,5.73,0.07,0.07,0.1,0.08,0.27,0.66,0.28,0.42,0.33,0.35,0.37,0.74,,0.48
d_1,0.07,0.11,6.28,0.08,0.06,0.07,0.21,,0.26,0.82,0.38,0.42,0.35,0.48,0.41,0.66
c_1,0.08,0.04,0.06,6.53,0.16,0.06,0.36,0.52,0.21,,0.38,0.33,0.36,0.6,0.49,0.59
b_1,0.09,0.05,0.07,0.07,7.18,0.17,0.28,0.38,0.25,0.3,0.51,,0.38,0.57,0.52,0.5
a_1,0.09,0.07,0.07,0.07,0.08,10.95,0.33,0.4,0.29,0.38,0.3,0.46,,0.45,0.39,0.5
h_1,0.32,0.32,0.3,0.28,0.34,0.24,13.57,1.56,1.33,1.59,1.03,1.37,1.31,,1.13,3.44
d_0,0.48,0.38,,0.73,0.28,0.29,1.72,11.57,1.33,2.12,2.21,1.31,2.11,2.96,2.54,2.73
g_1,0.16,0.26,0.52,0.24,0.23,0.37,1.12,1.44,18.35,1.16,1.52,1.79,1.58,2.72,1.05,
c_0,0.51,0.36,0.22,,0.32,0.26,1.85,1.32,1.69,12.54,2.46,3.51,2.41,3.79,1.48,2.64
f_0,,0.31,0.44,0.47,0.31,0.36,1.66,2.15,1.65,2.05,13.82,2.11,1.86,3.31,3.36,2.61
b_0,0.42,0.36,0.51,0.42,,0.25,1.77,1.96,0.93,1.79,1.64,14.68,4.41,2.22,1.47,2.62
a_0,0.45,0.57,0.44,0.25,0.38,,1.52,1.93,1.86,1.54,2.41,1.43,18.71,,,2.58
h_0,0.66,0.57,0.63,0.67,0.61,0.61,,2.68,3.0,2.92,2.87,2.55,,,3.35,5.56
e_0,0.46,,0.38,0.41,0.47,0.46,1.62,2.07,1.24,2.07,2.8,1.58,,2.87,20.4,
g_0,0.5,0.44,0.99,0.43,0.48,0.46,2.21,2.62,,1.95,4.96,3.28,2.76,5.56,,
