,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.14,10.02,9.67,11.15,9.48,9.64,1.94,2.01,2.79,2.15,9.19,2.24,1.13,2.62,1.85,2.18
e_1,5.64,1.14,13.12,11.12,12.56,11.24,3.83,2.34,4.02,2.03,2.39,2.03,1.79,6.57,3.18,1.58
c_1,14.81,10.53,1.14,14.53,12.99,9.0,3.2,1.58,4.32,9.03,2.38,2.11,1.87,2.81,2.27,1.77
d_1,12.32,16.08,13.07,1.14,11.43,11.77,4.25,11.9,2.09,2.17,2.25,3.46,2.02,2.49,2.61,1.11
b_1,16.0,18.37,7.63,17.5,1.15,17.91,4.34,3.3,5.02,3.47,3.02,13.24,2.01,3.14,3.4,1.65
a_1,21.75,20.04,18.63,22.47,10.48,1.15,6.83,5.15,5.53,5.39,4.42,5.22,2.82,3.38,15.09,3.36
h_1,26.62,33.16,28.68,26.18,32.88,34.31,1.9,5.27,8.15,6.33,5.57,4.85,9.96,5.04,4.57,3.54
d_0,35.25,18.37,38.13,109.24,31.33,27.35,10.48,2.7,11.05,7.77,7.33,7.44,5.67,5.27,5.69,9.27
g_1,37.32,30.46,44.4,32.66,38.04,41.31,6.34,7.93,1.92,5.79,7.82,5.54,3.73,7.1,7.89,14.29
c_0,43.26,32.87,180.06,15.68,53.26,38.19,8.64,7.11,14.49,2.65,6.89,6.96,6.14,5.7,8.26,5.91
f_0,115.36,31.22,38.58,27.08,39.75,43.06,15.41,6.11,6.65,7.31,2.55,7.44,5.09,6.69,9.13,3.9
b_0,44.27,36.74,52.27,37.71,106.52,43.06,10.92,8.12,9.73,3.81,7.33,2.61,4.53,6.33,6.8,4.83
h_0,67.98,38.23,49.86,53.69,45.14,44.0,32.75,9.72,14.82,10.23,9.19,9.7,13.58,8.7,9.13,7.8
e_0,73.21,110.21,85.29,46.59,71.97,53.26,21.24,16.43,13.87,8.77,5.36,11.8,8.78,2.7,8.67,7.98
a_0,90.64,59.48,58.93,66.0,59.18,184.0,17.86,15.0,17.62,10.07,16.08,5.97,10.67,9.67,2.75,11.06
g_0,79.31,78.06,51.44,62.12,57.89,74.96,14.29,11.5,38.35,17.54,10.16,12.63,8.78,9.94,12.39,24.5
