,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.52,0.82,0.79,1.02,0.88,0.86,1.12,1.53,1.0,1.05,0.99,1.1,1.07,0.95,1.08,0.73
f_1,1.43,1.55,0.83,0.92,0.75,0.59,0.82,1.16,0.94,1.01,0.99,0.74,1.0,0.86,1.01,0.56
d_1,0.95,1.02,1.56,0.77,0.81,0.71,1.07,0.97,0.84,1.57,1.2,1.02,1.21,0.93,0.97,0.96
c_1,0.86,0.92,0.92,1.56,1.31,0.77,1.02,0.89,0.82,0.7,0.78,0.84,1.12,0.8,0.99,0.89
b_1,0.86,0.95,0.94,0.79,1.6,1.2,1.08,0.99,0.91,1.07,0.79,1.1,1.07,0.72,0.95,0.99
a_1,0.86,1.04,1.08,1.07,0.88,1.75,1.15,1.18,1.04,1.23,1.27,1.17,1.35,1.0,1.11,0.97
h_1,1.05,1.52,1.22,1.07,0.94,0.78,1.84,1.4,1.42,1.3,1.09,1.21,1.21,1.16,1.86,1.07
d_0,1.04,1.16,0.95,1.85,1.17,0.94,1.17,1.74,1.11,0.97,1.18,1.22,1.61,1.04,1.38,1.01
g_1,1.08,1.05,1.56,1.23,1.09,0.84,1.18,1.25,1.94,1.29,1.24,1.82,1.31,1.22,1.36,1.26
c_0,1.26,1.31,1.06,1.21,0.99,0.98,1.33,1.63,1.32,1.74,2.25,1.42,1.64,1.41,1.53,1.18
b_0,1.35,1.3,1.16,1.42,0.99,0.64,1.57,1.43,1.43,1.09,1.82,1.41,1.74,2.06,1.41,1.03
f_0,0.95,1.07,1.45,1.33,1.16,0.99,1.39,1.43,1.21,1.28,1.27,1.82,1.61,1.14,1.38,2.21
h_0,1.3,1.61,1.24,1.23,1.23,0.88,1.16,1.29,1.59,1.25,1.29,1.3,1.36,1.17,1.67,1.19
a_0,1.21,1.5,1.4,1.36,1.11,0.65,1.59,1.56,1.4,1.41,1.27,1.52,1.92,1.91,1.86,1.15
g_0,1.11,1.21,1.91,1.24,1.25,0.99,1.15,1.2,1.12,1.45,1.33,1.88,1.47,1.01,1.39,1.34
e_0,1.08,1.7,1.43,1.3,1.15,0.92,1.66,1.4,1.46,1.47,1.57,1.19,1.7,1.25,1.64,1.91
