,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,0.93,1.21,1.02,0.95,0.91,0.84,1.01,0.91,1.02,0.93,0.89,0.89,0.9,0.84,0.91
d_1,1.05,1.0,1.05,0.96,0.96,0.91,1.0,0.85,1.28,0.96,1.17,1.0,0.96,1.04,1.01,0.83
e_1,0.84,0.93,1.0,1.14,1.05,1.0,1.09,1.09,0.96,1.34,0.96,1.13,1.04,1.02,1.11,1.2
c_1,0.96,1.06,0.88,1.0,1.27,0.98,0.96,0.97,0.95,0.77,0.91,0.96,1.01,1.0,0.95,1.09
b_1,1.02,1.09,0.95,0.78,1.0,1.41,1.1,1.0,1.08,0.96,0.94,1.03,1.03,0.94,1.02,1.01
a_1,1.11,1.11,1.0,1.0,0.73,1.0,1.14,1.18,0.94,0.98,1.2,1.04,1.14,0.97,1.1,1.06
h_1,1.18,0.99,0.91,1.04,0.95,0.82,1.0,1.1,0.9,0.95,0.89,0.94,1.05,0.91,0.95,1.09
g_1,0.97,1.17,0.92,1.04,1.05,0.83,0.91,1.0,0.92,0.9,0.94,1.12,0.89,1.09,0.97,1.02
c_0,1.09,0.81,1.07,1.13,0.93,1.05,1.13,1.02,1.0,1.25,1.32,0.97,1.1,1.16,1.02,0.99
d_0,0.98,1.05,0.75,1.32,1.07,0.97,1.0,1.14,0.77,1.0,0.87,1.11,1.04,1.04,1.02,1.16
b_0,1.03,0.87,0.98,1.15,1.07,0.94,1.08,1.07,0.79,1.11,1.0,1.01,1.04,1.42,1.03,1.04
f_0,1.11,1.01,0.9,1.07,0.95,0.96,1.03,0.89,0.97,0.92,1.0,1.0,1.12,1.01,1.3,0.88
h_0,1.11,1.02,0.99,1.01,0.95,0.87,0.95,1.16,0.9,0.98,0.97,0.91,1.0,0.94,0.97,1.16
a_0,1.09,0.93,0.97,0.97,1.07,1.02,1.12,1.0,0.91,0.93,0.75,1.0,1.14,1.0,1.02,1.09
e_0,1.17,0.96,0.86,1.05,0.98,0.93,1.04,0.96,0.94,0.97,0.96,0.76,1.05,0.96,1.0,0.93
g_0,1.08,1.18,0.82,0.92,1.02,0.93,0.9,0.96,1.01,0.83,0.96,1.07,0.88,1.02,1.09,1.0
