,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,0.44,0.71,1.28,1.1,1.26,1.22,0.34,0.24,0.22,0.21,0.34,0.32,0.18,0.22,0.41,0.23
f_1,1.05,0.44,1.14,1.05,1.09,0.95,0.23,0.28,0.22,0.21,0.33,0.3,0.13,0.22,0.2,0.19
c_1,0.94,1.25,0.41,1.76,1.15,1.05,0.33,0.14,0.39,0.27,0.34,0.25,0.17,0.23,0.25,0.16
d_1,1.58,1.23,1.21,0.4,1.21,1.25,0.33,0.46,0.23,0.26,0.22,0.23,0.16,0.23,0.19,0.11
b_1,1.3,1.4,0.75,1.48,0.38,1.51,0.42,0.29,0.35,0.57,0.42,0.34,0.22,0.33,0.26,0.19
a_1,1.67,2.1,1.6,1.58,0.78,0.32,0.49,0.38,0.39,0.52,0.46,0.33,0.26,0.62,0.36,0.27
h_1,2.09,2.42,2.1,2.0,2.12,1.78,0.31,0.48,0.44,0.43,0.55,0.44,0.39,0.4,0.4,0.31
d_0,1.45,2.31,2.49,3.68,2.19,2.26,0.82,0.33,0.52,0.51,0.87,0.49,0.4,0.44,0.56,0.43
c_0,2.9,2.82,4.38,1.34,2.78,1.86,0.72,0.78,0.32,0.46,0.67,0.52,0.37,0.47,0.47,0.32
b_0,2.52,2.92,4.38,2.13,3.94,2.38,0.73,0.6,0.32,0.29,0.71,0.5,0.39,0.51,0.51,0.43
g_1,2.87,3.21,3.16,2.4,3.12,2.49,0.59,0.63,0.49,0.52,0.25,0.46,0.27,0.46,0.43,0.47
f_0,2.68,4.66,3.34,2.44,2.91,2.46,0.74,0.65,0.52,0.56,0.5,0.27,0.39,0.52,0.52,0.22
h_0,3.06,3.39,3.02,2.7,2.95,2.17,1.25,0.68,0.58,0.65,0.84,0.58,0.56,0.69,0.5,0.41
a_0,2.92,3.01,3.9,2.7,3.91,3.58,0.99,0.82,0.56,0.3,0.76,0.68,0.46,0.29,0.55,0.46
e_0,4.14,3.76,3.16,2.82,2.85,2.85,0.87,0.73,0.72,0.7,0.84,0.31,0.49,0.67,0.28,0.43
g_0,3.45,3.71,3.53,3.13,3.83,2.89,0.79,0.71,0.66,0.6,1.1,0.64,0.36,0.66,0.58,0.57
