,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,1.0,0.99,0.81,1.17,0.98,0.8,1.01,1.52,0.98,1.24,1.03,1.09,0.99,1.28,1.1,1.17
d_1,1.01,1.0,1.07,0.96,0.95,0.95,0.99,1.15,1.27,0.8,1.1,0.96,1.02,0.76,1.15,1.03
f_1,1.23,0.94,1.0,1.07,0.84,1.02,0.83,0.87,0.91,1.02,0.89,0.89,0.93,1.09,0.91,1.03
c_1,0.85,1.04,0.95,1.0,1.55,0.89,1.06,0.67,0.86,0.95,0.83,1.03,0.99,0.92,0.95,0.86
b_1,1.0,1.05,1.2,0.64,1.0,1.75,0.99,0.96,0.99,1.05,0.92,0.89,1.1,1.03,0.91,0.85
a_1,1.24,1.03,1.0,1.12,0.58,1.0,1.15,1.08,0.99,1.26,1.23,1.14,1.04,1.06,0.91,1.03
h_1,0.99,1.06,1.2,0.96,0.98,0.87,1.0,0.9,0.94,1.11,0.91,0.9,0.98,1.05,0.91,1.01
d_0,0.68,0.87,1.09,1.53,1.07,0.89,1.13,1.0,0.78,1.09,1.06,0.91,0.98,0.99,0.98,1.0
c_0,1.01,0.79,1.09,1.09,0.97,0.96,1.04,1.26,1.0,0.97,1.36,1.06,1.03,1.06,1.11,1.06
g_1,0.84,1.25,0.96,1.05,1.0,0.82,0.89,0.95,1.05,1.0,1.13,1.27,0.8,0.93,1.08,0.93
b_0,0.98,0.94,1.16,1.21,1.08,0.85,1.1,0.93,0.74,0.91,1.0,0.98,1.09,1.1,0.9,1.33
f_0,0.91,1.04,0.97,1.05,1.07,0.88,1.07,1.09,0.98,0.77,1.0,1.0,1.05,0.92,1.31,0.97
h_0,1.0,0.95,1.07,1.0,0.86,0.92,0.99,1.03,0.93,1.3,0.92,0.99,1.0,1.14,0.81,0.81
g_0,0.79,1.31,0.98,1.11,0.94,0.93,0.95,0.99,0.93,1.05,0.88,1.13,0.85,1.0,0.95,0.9
e_0,0.9,0.9,1.14,1.07,1.05,1.02,1.11,1.02,1.03,0.86,1.11,0.78,1.2,1.09,1.0,0.95
a_0,0.91,0.94,1.02,1.13,1.1,1.0,1.05,0.98,0.97,1.11,0.77,1.03,1.24,1.06,1.07,1.0
