,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,2.03,0.64,0.74,0.94,0.77,0.59,0.93,0.97,1.66,0.87,0.9,1.2,1.02,0.84,1.06,1.05
d_1,0.75,2.15,0.81,0.54,0.68,0.75,0.95,1.04,0.56,1.64,1.24,1.05,1.01,1.05,1.16,1.0
f_1,1.26,0.71,2.17,0.77,0.62,0.56,0.92,0.77,0.9,0.92,0.96,0.44,0.74,0.59,1.01,0.94
c_1,0.73,0.74,0.71,2.35,1.34,0.74,0.86,0.91,0.86,0.47,0.68,0.94,1.01,0.81,0.72,0.77
b_1,0.6,0.81,0.8,0.72,2.56,1.5,0.97,0.9,0.86,0.93,0.66,0.93,0.99,1.04,0.58,0.9
a_1,0.73,0.83,0.9,0.81,0.67,3.32,1.05,0.93,0.91,1.01,1.12,0.89,1.09,1.03,0.69,1.01
h_1,0.81,0.95,1.05,0.84,0.82,0.74,2.17,1.27,0.91,0.93,0.95,1.05,0.8,1.19,1.05,1.56
g_1,0.74,1.28,0.68,0.83,0.78,0.76,0.97,2.12,0.92,1.04,1.09,1.58,1.03,1.25,0.97,0.83
d_0,0.79,0.61,0.73,1.55,0.87,0.85,1.06,0.98,1.6,0.7,0.79,1.11,1.09,1.15,0.88,1.1
c_0,0.86,0.99,0.96,0.68,0.58,0.73,1.13,1.11,0.92,1.79,2.06,1.17,1.27,1.15,1.52,0.97
b_0,0.77,0.94,0.98,0.8,0.53,0.61,1.13,1.02,1.04,1.13,1.99,1.16,1.28,1.13,2.36,1.21
f_0,0.68,1.0,0.61,0.96,0.78,0.89,1.02,1.14,1.22,0.92,1.06,1.99,1.25,2.26,1.06,1.3
h_0,0.7,0.97,1.18,0.85,0.76,0.85,0.73,1.36,1.04,0.99,1.22,1.05,0.71,1.22,1.07,1.35
e_0,0.53,1.05,0.92,0.93,0.88,0.94,1.02,1.21,1.09,0.98,1.09,1.01,1.34,2.42,1.2,1.31
a_0,0.77,0.91,0.93,0.95,0.93,0.43,1.17,1.05,1.13,0.93,1.29,1.23,1.27,1.31,2.58,1.24
g_0,0.75,1.25,0.77,0.88,0.74,0.69,1.17,0.9,0.95,1.07,0.97,1.61,1.29,1.46,1.11,0.82
