,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,1.06,2.37,2.11,2.01,1.96,1.73,0.75,0.83,0.53,0.71,0.6,0.56,0.42,0.53,0.48,0.34
e_1,2.11,1.06,1.4,2.27,2.17,1.88,0.93,0.79,0.89,0.68,0.72,0.66,0.56,0.59,0.99,0.54
f_1,1.98,2.33,1.06,2.08,2.04,2.13,0.56,0.66,0.84,0.55,0.73,0.52,0.35,0.51,0.45,0.44
c_1,2.61,1.85,2.28,1.06,2.32,1.89,0.77,0.42,0.8,0.83,0.57,0.55,0.55,0.57,0.53,0.59
b_1,2.62,2.57,3.12,1.64,1.06,2.42,1.05,0.69,0.88,0.95,0.67,1.44,0.61,0.7,0.73,0.63
a_1,3.24,2.91,3.07,3.8,1.86,1.06,1.56,1.01,1.32,1.06,1.03,1.23,0.93,1.37,1.02,0.79
h_1,5.49,5.36,6.83,5.74,4.91,4.21,1.33,1.75,2.74,1.51,1.71,1.6,1.74,1.44,1.31,1.38
d_0,8.45,4.18,6.58,7.45,7.3,5.45,2.56,1.54,2.33,1.71,1.68,1.91,1.51,1.46,1.58,1.59
g_1,7.83,6.47,6.63,7.06,6.76,4.57,1.78,2.2,1.33,1.98,1.95,2.0,1.38,1.94,1.79,1.54
c_0,4.24,7.59,7.14,10.08,6.13,4.91,3.0,2.95,2.59,1.48,2.1,2.87,1.73,1.81,1.86,1.63
f_0,6.82,7.48,10.76,7.48,7.64,5.67,3.02,2.26,1.97,2.23,1.51,2.19,1.75,1.54,2.13,1.1
b_0,6.59,6.86,8.27,9.72,7.68,5.5,2.85,2.68,2.46,1.26,2.07,1.51,1.77,2.43,1.96,1.51
h_0,8.86,7.77,10.97,7.98,8.61,6.58,3.9,2.73,2.99,2.47,2.42,2.21,2.38,2.02,2.03,1.99
a_0,8.75,10.09,9.86,9.58,10.17,12.16,3.6,3.71,2.75,2.78,2.93,1.58,2.53,1.6,2.18,2.13
e_0,9.61,13.36,14.36,10.23,8.58,6.6,3.82,3.48,2.78,2.69,1.62,2.81,2.23,2.36,1.58,2.14
g_0,10.51,9.94,11.72,8.78,7.57,8.08,3.17,3.04,4.94,2.63,3.24,3.25,2.03,2.55,2.4,2.47
