,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,5.76,2.86,2.39,3.5,3.01,2.93,9.51,21.98,10.66,12.13,14.94,15.76,12.9,20.99,11.2,23.09
f_1,4.32,6.1,2.65,2.86,2.33,2.59,9.54,13.15,10.09,12.14,13.67,8.51,13.87,20.47,10.42,17.85
d_1,2.88,2.91,6.61,2.37,2.4,2.56,12.05,9.16,11.42,22.92,16.74,15.11,15.29,20.28,16.91,22.9
c_1,2.53,2.62,2.55,6.8,5.15,3.2,9.74,12.1,9.18,8.83,10.17,13.24,12.91,19.87,15.62,21.03
b_1,2.67,2.79,2.73,2.98,7.77,5.73,9.81,13.11,9.73,11.22,9.63,14.14,11.34,19.51,16.66,18.01
a_1,2.72,3.27,2.67,3.02,3.11,11.44,11.01,11.56,10.09,12.96,13.19,14.47,9.61,19.53,16.1,19.01
h_1,3.14,3.88,2.98,3.04,2.93,2.6,18.38,12.21,13.4,12.3,14.59,13.8,15.29,17.76,17.14,28.23
d_0,2.77,2.88,2.31,5.16,3.48,2.87,9.46,20.21,11.21,9.38,15.0,15.57,15.84,21.6,14.6,19.91
g_1,2.55,2.55,4.44,3.01,3.01,2.66,11.32,11.04,23.97,15.7,15.73,23.96,15.8,22.6,20.34,19.3
c_0,2.99,3.23,3.38,2.95,2.23,2.81,11.58,14.76,12.29,22.45,27.71,16.16,20.7,24.14,16.96,25.42
b_0,3.01,3.27,3.13,3.33,2.68,2.42,12.7,13.91,13.13,14.86,23.05,15.7,29.38,23.73,18.0,23.5
f_0,2.44,2.39,3.41,3.25,3.76,3.32,11.41,14.36,12.59,14.08,17.07,24.89,16.35,22.59,31.36,27.4
a_0,3.26,3.1,2.9,3.09,2.97,2.4,11.1,14.07,11.8,13.67,14.21,15.76,28.85,24.7,17.16,21.09
h_0,3.05,3.6,3.63,2.9,2.87,2.65,8.85,12.98,14.69,13.74,14.11,15.89,15.69,18.73,16.82,30.68
e_0,2.44,3.3,3.5,3.07,3.02,4.02,11.65,11.76,11.39,14.17,18.12,15.48,16.53,24.98,29.87,23.37
g_0,2.65,2.68,4.36,3.05,3.28,2.75,10.53,11.57,8.7,14.6,14.23,22.04,14.47,21.55,20.57,17.31
