,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.66,1.17,1.05,0.98,1.01,0.87,0.4,0.49,0.44,0.34,0.35,0.45,0.25,0.34,0.3,0.33
e_1,0.77,0.65,1.31,1.04,1.1,0.9,0.5,0.62,0.48,0.41,0.4,0.5,0.33,0.36,0.49,0.36
c_1,1.14,0.9,0.64,1.35,1.18,1.03,0.5,0.46,0.26,0.41,0.35,0.35,0.33,0.37,0.37,0.3
d_1,1.13,1.25,0.99,0.64,1.15,0.86,0.47,0.34,0.49,0.44,0.44,0.41,0.33,0.41,0.41,0.24
b_1,1.25,1.17,0.81,1.12,0.62,1.38,0.54,0.54,0.46,0.57,0.55,0.45,0.37,0.41,0.41,0.35
a_1,1.78,1.49,1.34,1.46,0.78,0.57,0.75,0.61,0.5,0.45,0.61,0.43,0.43,0.5,0.4,0.37
h_1,1.88,1.62,1.73,1.71,1.51,1.32,0.56,0.82,0.63,0.6,0.66,0.54,0.69,0.56,0.55,0.59
g_1,2.04,1.76,1.86,2.13,1.74,1.75,0.72,0.53,0.7,0.68,0.69,0.73,0.46,0.77,0.63,0.54
d_0,1.97,1.25,2.49,2.33,1.93,1.68,0.9,0.93,0.59,0.65,0.73,0.65,0.65,0.76,0.68,0.68
c_0,2.03,2.03,2.9,1.3,1.77,1.74,0.93,0.85,0.97,0.58,0.83,0.71,0.61,0.74,0.81,0.52
b_0,2.11,1.89,2.64,1.58,2.24,1.67,0.95,0.86,0.74,0.46,0.56,0.75,0.64,0.73,0.71,0.63
f_0,2.48,1.88,2.29,1.9,2.0,1.86,1.0,0.66,0.76,0.72,0.77,0.55,0.58,0.72,0.79,0.46
h_0,2.4,2.36,2.15,2.1,2.23,1.96,1.08,1.04,0.73,0.76,0.7,0.76,0.71,0.66,0.63,0.63
a_0,2.46,2.37,2.32,1.85,2.24,2.39,1.08,0.88,0.86,0.75,0.54,1.05,0.67,0.54,0.78,0.64
e_0,3.13,2.64,2.28,2.15,2.22,2.23,1.09,0.87,0.88,0.8,0.87,0.51,0.86,0.99,0.54,0.62
g_0,2.38,2.2,2.31,2.49,2.31,2.48,0.83,1.19,0.75,0.89,0.86,0.87,0.57,0.81,0.74,0.8
