,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,9832.85,5745.09,2949.91,6891.7,6066.19,41457.05,3222712.82,6730564.37,11028623.4,16885090.09,8784170.11,20620995.08,128929069.33,55349711.72,111078324.15,275554072.43
e_1,2867.23,12095.85,2925.25,8179.12,5829.85,46143.15,3528026.89,7470575.56,10191629.83,35443583.02,24866955.73,24931882.5,133580215.8,62361399.49,120314369.48,345733222.38
d_1,2670.06,2639.19,13008.82,5304.44,8451.79,51564.74,3376892.14,6829082.72,24458300.6,7873873.21,22586253.44,22849266.58,126912794.6,116837213.24,118965433.71,341933007.32
c_1,2644.61,2816.98,3030.13,30990.18,13383.06,49278.19,3229892.41,7020159.26,4576217.45,17562745.64,17937200.84,16838203.85,120593790.21,84015039.29,105230874.08,300514648.09
b_1,3032.07,2563.14,3746.95,5570.79,34761.45,88240.7,3261634.7,6677132.7,10778137.4,17176183.24,21878866.2,10357334.82,128695243.84,90612513.63,95319308.16,281944531.03
a_1,3095.65,2304.8,3497.16,7110.32,7059.73,384201.66,4210131.49,6301198.93,14895355.78,16527468.0,16918769.42,21669039.29,128555759.54,137948782.88,74117720.91,323407038.18
h_1,4361.7,3369.36,3825.26,8541.55,8874.45,57843.37,10079592.23,10208357.96,12271608.92,18399027.78,25253179.03,21994704.32,97087570.99,95941014.89,164159295.81,601823819.66
g_1,2575.01,3070.5,6257.51,7587.99,8107.23,59246.38,4221581.13,25360994.47,12343812.9,18136626.9,40103715.79,27008624.92,151770888.02,112300709.34,146285736.23,266987995.36
c_0,3538.31,4288.91,4133.8,5487.62,6319.51,58820.05,4233395.77,9652036.13,27750240.36,23456199.11,30325603.53,53288921.82,186962511.13,146719267.62,198123659.26,454099890.96
d_0,3227.5,3766.29,2412.09,16565.07,8103.76,46429.28,4245336.91,8987370.34,8335595.79,42147100.24,23089853.93,23859515.73,166745641.91,130689020.86,136555198.84,420919523.65
f_0,1901.5,2731.29,4956.21,9926.96,9370.99,58423.51,4087056.16,9430150.24,16893896.33,23197234.7,52447517.79,29601061.18,202259443.86,268504277.19,177543372.17,438402610.78
b_0,3257.02,4027.49,3797.29,9568.16,5622.59,50933.32,4768232.19,10184562.26,13918870.56,24382494.87,27614412.78,50460869.39,197443742.81,141748450.9,375974199.89,465087987.09
h_0,4184.09,4380.81,4242.58,10117.8,6430.25,51550.16,2675270.94,12006800.11,16300922.44,22092900.91,24497127.71,25636529.0,101846765.65,97712627.0,162223345.03,524737651.77
e_0,4150.86,2449.57,4349.18,7735.06,8657.91,72662.41,5006130.35,8870975.5,15461110.68,17919295.85,20148508.22,27740699.72,210581047.86,340570241.65,194442268.37,487491825.99
a_0,3312.8,3429.83,4567.21,8307.44,8472.04,33528.01,4937100.08,10130817.87,19188243.38,19863048.26,28518101.92,27904809.4,187688453.96,147265046.29,394946512.75,576657604.13
g_0,2413.48,3510.55,6366.49,8853.87,7372.22,56800.64,3529281.59,7219303.91,16498406.79,18954755.85,40174445.44,30130834.08,191290347.04,150115546.96,179138941.69,240909647.23
