,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,8838.73,4102.4,3720.78,4257.98,5725.38,20648.72,4034224.07,6705830.64,12441983.6,9424033.91,19533021.6,12849186.09,72862840.78,101113453.55,137614888.35,312532031.66
e_1,2071.67,9933.48,5274.64,4388.54,4379.39,24082.7,3961171.12,12906514.72,11304813.06,9649501.39,28455424.89,31889090.96,104967223.89,81315276.96,184826442.13,325077296.72
c_1,2175.43,1723.6,20317.04,3832.06,13425.73,24042.04,3859582.34,6471149.48,4642099.06,9492489.36,14415415.67,31889343.66,92450062.89,186683130.01,131481521.13,274927910.2
d_1,2611.46,2334.89,3002.96,23825.27,6121.51,18311.91,3680692.75,2764620.04,23206329.3,10231907.52,23800793.12,33102538.04,111840719.29,160220340.56,174759879.67,368755098.59
b_1,1944.28,1830.11,4063.19,4527.31,37954.2,57272.52,3509396.61,6086057.93,11219690.14,8875185.09,7083480.32,29953103.09,88930325.92,171116932.4,101273085.72,289244252.38
a_1,1998.98,1759.05,3704.89,4908.7,7229.19,203880.96,4854724.11,7314345.38,14482910.86,16036722.51,25362765.68,35643081.37,79239349.18,160648425.4,52894739.06,332176954.05
h_1,3414.63,2533.92,3979.36,6584.87,7599.27,26082.97,13855419.62,7256257.14,14768979.28,17295548.74,26341789.78,38158399.17,56469611.76,222754902.49,197193685.17,549512720.95
d_0,2312.74,2725.45,9252.39,2594.46,9446.3,26138.37,4424261.68,16731934.96,14180452.55,12977809.62,29307341.48,41503793.07,117398433.03,240019762.04,177180698.89,439043285.57
c_0,2620.95,2736.6,2984.82,6700.66,6920.46,29965.52,5936968.8,7938429.91,34329193.23,13679880.71,57619528.22,44833435.75,129933177.65,178699057.92,232687730.66,492414046.89
g_1,2130.4,2289.57,5576.22,8518.93,7298.98,31151.13,4069696.35,7372201.21,14739737.03,47102650.83,24206424.8,59392648.79,109849420.35,210619897.7,186656406.9,134664537.17
b_0,3002.87,2891.06,5421.58,5101.86,3375.67,17377.97,5882898.04,8255655.67,18266373.01,15989938.39,71250550.84,36932967.6,135427594.43,213771596.15,489790571.62,426805636.94
f_0,1560.89,2261.84,5892.62,6917.79,7959.29,32915.63,5353769.5,8602585.09,13823068.23,15026666.61,31053596.0,98443710.47,117079195.56,487121695.21,234048539.8,439181005.31
h_0,3683.4,2492.62,5374.59,5886.13,6474.93,30589.04,2783825.16,9647528.86,18984247.28,17546342.94,32606496.69,35013673.02,74608213.51,162968507.05,183769701.9,550038250.42
e_0,2569.41,1234.71,5524.26,7754.48,9396.53,25704.7,5721235.92,9155821.51,17161980.29,12885743.87,24134560.1,44714954.16,108891431.22,595836684.4,257259001.3,540224015.4
a_0,3049.05,2712.65,4753.21,7253.84,8569.34,,4648021.62,10894004.14,18681165.44,10165567.92,29877782.01,38161832.22,141059075.35,241661737.68,641932379.76,456756909.7
g_0,2132.66,2364.45,4843.33,10088.78,7321.26,29832.72,4609713.75,7017172.77,18403767.41,10585875.05,31215459.14,60505899.51,89135293.54,201322816.85,218188107.61,250337921.66
