,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.66,1.62,1.24,1.64,1.26,1.19,0.48,0.63,0.5,0.52,0.44,0.67,0.43,0.31,0.41,0.46
e_1,0.94,0.65,1.36,1.45,1.71,1.39,0.71,0.76,0.56,0.65,0.55,0.59,0.64,0.48,1.06,0.44
d_1,1.54,1.76,0.65,1.4,1.23,1.27,0.58,0.45,0.56,0.85,0.53,0.48,0.42,0.38,0.46,0.27
c_1,1.4,1.3,1.61,0.65,1.6,1.29,0.64,0.54,0.76,0.34,0.48,0.46,0.47,0.46,0.42,0.43
b_1,1.8,1.32,1.69,0.9,0.63,1.81,0.72,0.8,0.68,0.59,0.84,0.54,0.52,0.53,0.68,0.5
a_1,1.71,1.8,1.69,1.97,1.17,0.58,1.09,0.95,0.61,0.68,0.83,0.61,1.04,0.55,0.66,0.52
h_1,2.59,2.01,2.03,2.46,2.38,1.79,0.57,1.19,0.72,0.7,0.83,0.7,0.67,0.85,0.66,0.63
g_1,2.61,2.42,2.47,3.02,2.37,1.91,0.8,0.54,0.79,0.84,0.87,0.78,0.75,0.46,0.79,0.87
c_0,2.72,2.5,1.54,4.09,2.15,1.88,1.02,1.37,0.61,1.11,1.01,0.81,0.89,0.73,0.94,0.72
d_0,2.47,1.47,3.67,2.9,2.31,2.13,1.15,1.28,0.82,0.62,0.95,0.86,0.85,0.74,0.73,0.84
b_0,2.75,2.21,2.18,3.63,3.45,2.15,1.14,1.01,0.57,1.0,0.6,0.91,1.04,0.72,0.82,0.64
f_0,3.68,2.48,2.28,3.18,2.38,2.54,1.25,0.85,0.9,1.03,0.83,0.6,0.87,0.9,1.03,0.59
a_0,3.12,2.56,2.59,3.0,3.51,3.41,1.45,1.31,0.84,1.02,0.59,0.95,0.58,0.94,0.93,0.77
h_0,3.43,2.65,2.69,2.76,2.31,2.47,1.64,1.34,0.97,1.08,0.96,0.86,0.86,1.08,0.96,0.9
e_0,4.51,3.3,2.72,3.43,2.36,2.25,1.32,1.14,1.07,1.29,1.14,0.59,0.92,0.7,0.54,0.72
g_0,3.12,2.88,3.36,3.08,2.7,2.41,1.09,1.87,1.14,1.07,1.06,1.24,1.11,0.7,0.87,1.13
