,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.8,1.2,0.97,1.02,0.96,1.14,1.33,0.98,0.88,1.01,1.19,1.11,1.03,1.11,1.13
f_1,1.25,1.0,0.95,0.97,0.96,0.8,0.78,1.02,1.07,0.97,1.06,0.88,0.78,0.99,0.77,1.05
c_1,0.83,1.06,1.0,1.18,1.4,0.84,0.92,0.7,0.99,0.72,0.72,0.96,1.01,0.93,0.91,0.96
d_1,1.04,1.02,0.84,1.0,1.07,0.98,0.99,1.23,0.89,1.36,1.06,1.04,0.99,1.04,1.06,0.81
b_1,0.99,1.04,0.72,0.94,1.0,1.64,1.12,0.98,1.1,1.2,1.04,0.98,1.26,0.94,1.08,1.09
a_1,1.04,1.24,1.19,1.03,0.61,1.0,1.14,1.01,1.02,0.92,1.34,1.02,1.1,1.18,1.07,1.11
h_1,0.88,1.27,1.11,1.01,0.93,0.86,1.0,0.81,1.08,0.85,0.96,0.81,1.05,0.91,0.95,1.2
d_0,0.73,0.93,1.41,0.79,1.07,1.03,1.18,1.0,1.08,0.78,0.95,0.99,1.1,0.85,1.09,1.04
g_1,0.97,0.91,1.01,1.18,0.94,0.97,0.91,0.89,1.0,0.94,1.01,1.15,0.85,0.9,0.98,0.96
c_0,1.15,1.01,1.37,0.75,0.85,1.01,1.18,1.32,1.04,1.0,1.34,0.94,1.0,1.0,0.93,0.97
b_0,0.96,0.92,1.35,0.97,0.98,0.8,1.04,1.06,0.97,0.72,1.0,0.93,0.97,1.46,1.06,1.02
f_0,0.86,1.16,1.03,0.95,0.98,0.98,1.26,1.0,0.86,1.1,1.04,1.0,1.04,1.02,1.56,0.83
h_0,0.89,1.27,0.98,1.02,0.79,0.86,0.96,0.9,1.2,0.97,1.01,1.0,1.0,0.99,0.96,1.04
a_0,0.98,0.98,1.05,1.02,1.09,0.89,1.06,1.15,1.07,0.95,0.69,0.95,0.96,1.0,1.01,0.99
e_0,0.97,1.36,1.11,0.99,0.93,0.88,1.05,0.96,1.04,1.06,0.93,0.66,1.07,0.92,1.0,0.98
g_0,0.9,1.0,0.98,1.27,0.91,0.91,0.84,0.95,1.04,1.04,0.99,1.17,0.94,1.01,1.03,1.0
