,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.67,1.41,1.24,1.34,1.32,1.33,0.5,0.77,0.43,0.46,0.47,0.59,0.48,0.32,0.36,0.4
e_1,0.95,0.66,1.48,1.72,1.4,1.41,0.66,0.7,0.51,0.64,0.57,0.58,0.49,0.45,0.94,0.47
d_1,1.69,1.48,0.65,1.58,1.23,1.11,0.63,0.46,0.59,0.79,0.5,0.45,0.45,0.36,0.47,0.29
c_1,1.54,1.28,1.41,0.64,1.9,1.19,0.67,0.65,0.9,0.34,0.5,0.53,0.47,0.45,0.46,0.49
b_1,1.67,1.7,1.8,0.85,0.62,1.6,0.84,0.76,0.68,0.64,0.84,0.56,0.58,0.47,0.54,0.41
a_1,2.02,1.95,1.85,2.02,1.1,0.56,0.86,0.72,0.64,0.68,0.93,0.67,1.75,0.62,0.8,0.56
h_1,2.39,2.13,2.08,2.09,1.87,1.87,0.59,1.02,0.76,0.81,0.75,0.77,0.69,1.01,0.61,0.69
g_1,2.36,2.07,2.62,2.27,2.23,2.35,0.89,0.55,0.95,0.88,0.85,0.92,0.69,0.56,0.92,0.92
c_0,2.68,2.36,1.56,3.59,2.2,2.3,1.26,0.91,0.61,1.12,1.09,0.92,0.86,0.74,0.82,0.71
d_0,2.31,1.5,3.77,3.09,2.5,2.6,1.14,1.09,0.79,0.62,0.78,0.94,0.88,0.71,0.88,0.71
b_0,2.39,2.36,2.25,2.91,3.27,2.62,1.08,1.1,0.55,1.01,0.59,0.88,1.04,0.91,1.04,0.71
f_0,4.05,2.51,2.69,2.57,2.18,2.3,1.17,0.8,0.88,0.83,0.89,0.6,0.83,0.75,0.98,0.51
a_0,2.91,2.83,2.78,3.06,3.03,2.82,1.25,1.25,0.92,1.11,0.61,1.0,0.59,0.96,1.17,0.71
h_0,2.92,2.64,2.88,2.78,2.73,2.52,1.3,1.26,1.02,1.02,0.84,0.9,0.79,1.14,0.76,0.89
e_0,4.03,4.09,2.79,3.0,2.75,2.11,1.36,0.95,1.09,1.04,0.99,0.69,0.89,0.94,0.56,0.78
g_0,3.44,2.97,3.2,2.87,3.46,2.31,1.08,1.79,1.16,1.2,1.05,1.18,1.03,0.76,1.08,1.21
