,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.45,0.95,1.74,1.6,1.77,1.62,0.56,0.36,0.62,0.38,0.39,0.48,0.23,0.38,0.86,0.28
f_1,1.51,0.43,1.62,1.78,1.58,1.64,0.35,0.37,0.54,0.33,0.33,0.73,0.18,0.34,0.3,0.26
d_1,1.72,1.87,0.42,1.81,1.7,1.76,0.48,0.36,0.34,0.69,0.3,0.31,0.24,0.31,0.41,0.16
c_1,1.51,2.06,2.29,0.39,1.89,1.69,0.56,0.82,0.61,0.21,0.44,0.33,0.27,0.38,0.38,0.27
b_1,2.14,2.28,2.06,1.1,0.37,2.17,0.63,0.48,0.49,0.44,0.64,0.4,0.29,0.45,0.45,0.34
a_1,2.57,2.28,2.02,2.74,1.11,0.33,0.72,0.54,0.55,0.58,0.71,0.51,0.47,1.73,0.44,0.45
h_1,2.66,3.22,2.69,2.94,2.63,2.56,0.32,0.53,0.91,0.62,0.57,0.57,0.67,0.53,0.46,0.47
c_0,3.33,3.51,1.69,5.46,4.01,3.14,0.96,0.35,0.85,0.73,0.58,0.58,0.5,0.59,0.54,0.43
g_1,3.45,4.17,3.02,3.05,3.72,2.57,0.66,0.6,0.3,0.66,0.59,0.67,0.35,0.68,0.55,0.74
d_0,1.83,3.21,4.95,3.43,3.55,3.97,1.0,0.7,1.13,0.38,0.76,0.59,0.47,0.6,0.73,0.5
b_0,3.37,3.29,3.04,3.5,6.05,3.03,0.9,0.38,0.9,0.66,0.35,0.64,0.44,0.81,0.6,0.42
f_0,3.32,7.25,3.4,3.66,3.32,2.61,0.86,0.63,0.64,0.73,0.68,0.33,0.57,0.72,0.6,0.34
h_0,3.62,3.83,3.75,3.94,3.86,3.24,1.74,0.72,1.37,0.74,0.83,0.8,0.87,0.65,0.62,0.56
a_0,3.79,4.54,3.39,4.76,5.8,5.87,1.15,0.6,0.96,0.85,0.4,0.72,0.64,0.31,0.61,0.52
e_0,6.42,6.25,3.3,4.53,3.86,2.99,0.96,0.77,1.11,0.81,0.81,0.4,0.6,0.72,0.3,0.52
g_0,3.95,4.94,4.03,4.15,4.45,3.93,0.9,0.8,2.05,0.71,0.84,0.83,0.5,0.82,0.75,0.82
