,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.81,0.87,1.04,0.89,0.7,0.45,0.55,0.46,0.38,0.4,0.45,0.3,0.34,0.31,0.33
f_1,1.25,1.0,0.91,0.96,0.78,0.6,0.42,0.45,0.45,0.38,0.37,0.34,0.34,0.31,0.26,0.3
d_1,1.14,1.09,1.0,0.92,0.81,0.7,0.56,0.43,0.38,0.54,0.45,0.36,0.37,0.32,0.32,0.27
c_1,0.94,1.04,1.11,1.0,1.22,0.78,0.53,0.33,0.43,0.39,0.34,0.36,0.35,0.36,0.34,0.32
b_1,1.11,1.27,1.2,0.85,1.0,1.1,0.57,0.46,0.48,0.52,0.41,0.4,0.36,0.41,0.39,0.32
a_1,1.41,1.59,1.42,1.3,0.93,1.0,0.8,0.57,0.66,0.6,0.61,0.51,0.45,0.52,0.43,0.45
h_1,2.13,2.31,1.88,1.94,1.74,1.23,1.0,0.83,0.92,0.77,0.72,0.7,0.66,0.69,0.64,0.7
d_0,1.87,2.21,2.31,3.03,2.25,1.69,1.16,1.0,1.12,0.77,0.93,0.86,0.84,0.83,0.79,0.75
g_1,2.13,2.24,2.61,2.3,2.05,1.56,1.09,0.9,1.0,0.98,0.89,1.04,0.85,0.69,0.85,0.77
c_0,2.58,2.64,1.93,2.72,1.9,1.68,1.31,1.24,1.03,1.0,1.29,0.9,0.97,0.85,0.8,0.79
b_0,2.47,2.7,2.26,2.98,2.54,1.64,1.45,1.06,1.11,0.81,1.01,0.9,1.24,0.93,0.79,0.84
f_0,2.31,2.94,2.69,2.64,2.57,1.88,1.41,1.18,0.98,1.07,1.12,1.0,0.92,0.91,1.22,0.75
a_0,3.14,2.88,2.61,2.78,2.81,2.1,1.46,1.24,1.23,1.07,0.83,1.08,1.0,1.03,0.93,0.9
h_0,3.05,3.24,3.12,2.71,2.59,2.01,1.47,1.23,1.46,1.15,1.09,1.1,0.99,1.0,0.92,1.06
e_0,3.23,3.71,3.04,2.93,2.53,2.33,1.57,1.28,1.19,1.32,1.32,0.85,1.05,1.11,1.0,0.88
g_0,3.05,3.23,3.79,3.01,3.12,2.26,1.44,1.38,1.32,1.33,1.26,1.35,1.16,0.96,1.14,1.0
