,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.95,0.72,0.41,0.39,0.32,0.25,0.28,0.24,0.28,0.25,0.25,0.17,0.24,0.2,0.15,0.22
e_1,0.46,0.94,0.38,0.51,0.42,0.26,0.31,0.25,0.48,0.29,0.28,0.29,0.29,0.21,0.15,0.24
d_1,0.55,0.47,0.95,0.36,0.4,0.28,0.38,0.26,0.21,0.43,0.28,0.27,0.3,0.23,0.22,0.21
c_1,0.52,0.43,0.52,0.94,0.69,0.25,0.35,0.27,0.23,0.14,0.22,0.25,0.27,0.21,0.19,0.2
b_1,0.57,0.51,0.47,0.38,0.94,0.58,0.32,0.29,0.26,0.3,0.18,0.24,0.25,0.14,0.21,0.21
a_1,0.63,0.62,0.57,0.54,0.37,0.94,0.4,0.27,0.34,0.36,0.3,0.25,0.36,0.14,0.27,0.31
h_1,1.05,0.62,0.72,0.6,0.6,0.45,0.76,0.54,0.36,0.39,0.44,0.34,0.3,0.33,0.27,0.44
g_1,0.76,0.8,1.04,0.69,0.58,0.53,0.44,0.76,0.38,0.43,0.36,0.53,0.38,0.27,0.35,0.28
d_0,0.83,0.69,0.61,1.31,0.65,0.46,0.58,0.46,0.66,0.34,0.46,0.4,0.44,0.35,0.28,0.39
c_0,0.92,0.81,0.72,0.67,0.52,0.54,0.61,0.48,0.61,0.65,0.75,0.5,0.46,0.41,0.36,0.42
b_0,1.0,0.82,0.86,0.82,0.46,0.46,0.58,0.57,0.5,0.44,0.65,0.43,0.49,0.62,0.31,0.4
f_0,0.64,0.67,0.86,0.86,0.72,0.6,0.69,0.51,0.54,0.5,0.54,0.69,0.52,0.39,0.61,0.36
h_0,1.17,0.79,0.85,0.89,0.64,0.48,0.47,0.67,0.52,0.5,0.49,0.43,0.42,0.34,0.38,0.47
a_0,1.0,0.94,0.94,0.82,0.88,0.41,0.59,0.63,0.53,0.47,0.42,0.46,0.57,0.65,0.34,0.39
e_0,1.15,0.71,0.85,0.95,0.61,0.6,0.71,0.65,0.57,0.6,0.62,0.48,0.57,0.36,0.64,0.45
g_0,0.88,0.79,1.26,0.92,0.74,0.46,0.56,0.57,0.49,0.5,0.54,0.69,0.53,0.38,0.38,0.41
