,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.66,1.25,1.03,0.99,0.94,0.82,0.36,0.47,0.38,0.34,0.36,0.44,0.24,0.31,0.31,0.28
e_1,0.71,0.66,1.13,1.17,1.09,1.06,0.49,0.51,0.51,0.42,0.43,0.5,0.33,0.4,0.36,0.42
d_1,1.15,1.19,0.64,1.18,1.12,0.89,0.46,0.35,0.52,0.4,0.39,0.35,0.31,0.37,0.23,0.38
c_1,1.12,0.97,1.21,0.63,1.27,1.07,0.51,0.49,0.26,0.46,0.36,0.4,0.35,0.4,0.31,0.34
b_1,1.32,1.12,1.2,0.77,0.61,1.28,0.63,0.55,0.48,0.6,0.62,0.43,0.39,0.4,0.38,0.46
a_1,1.61,1.29,1.5,1.22,0.8,0.57,0.74,0.62,0.51,0.63,0.63,0.5,0.46,0.62,0.4,0.46
h_1,2.06,1.71,1.61,1.74,1.63,1.4,0.55,0.84,0.7,0.56,0.59,0.59,0.6,0.51,0.6,0.57
g_1,1.83,1.99,1.91,1.85,1.82,1.58,0.68,0.53,0.79,0.65,0.7,0.71,0.47,0.64,0.65,0.61
d_0,2.0,1.23,2.08,2.4,1.88,1.71,0.85,0.86,0.58,0.62,0.75,0.66,0.67,0.73,0.61,0.74
c_0,2.44,1.99,1.37,2.51,1.87,1.53,0.9,0.88,0.92,0.56,0.88,0.63,0.66,0.72,0.58,0.71
b_0,2.28,1.88,1.66,2.74,2.24,1.58,0.91,0.89,0.72,0.45,0.55,0.63,0.6,0.8,0.52,0.62
f_0,2.47,1.96,2.18,2.03,1.92,1.9,1.03,0.7,0.82,0.76,0.8,0.54,0.6,0.73,0.43,0.84
h_0,2.53,2.37,2.1,2.13,1.8,1.68,1.24,1.11,0.82,0.71,0.78,0.75,0.76,0.69,0.66,0.6
a_0,2.46,2.51,2.09,2.29,2.66,2.46,1.0,0.95,0.93,0.66,0.53,0.78,0.62,0.54,0.66,0.68
g_0,2.65,2.18,2.63,2.59,2.05,2.14,0.86,1.2,0.97,0.79,0.86,0.88,0.58,0.84,0.72,0.8
e_0,3.71,2.68,2.24,2.4,2.3,2.43,1.02,1.12,0.83,0.76,0.81,0.48,0.78,0.75,0.6,0.53
