,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,23.51,0.37,0.42,0.31,0.29,0.27,0.64,1.59,0.66,0.72,0.96,1.01,0.85,0.88,0.23,0.77
f_1,0.63,24.65,0.29,0.37,0.33,0.3,0.64,0.76,0.72,0.7,0.78,0.25,0.82,0.77,0.54,0.94
c_1,0.29,0.4,26.02,0.29,0.77,0.28,0.76,0.74,0.64,0.13,0.5,0.75,0.81,0.73,0.84,0.85
d_1,0.3,0.32,0.19,29.04,0.38,0.34,0.73,0.18,1.0,1.95,0.9,0.93,0.96,1.01,0.8,0.86
b_1,0.28,0.27,0.37,0.34,31.92,0.84,0.75,0.75,0.67,0.69,0.17,0.78,0.97,0.66,0.84,0.84
a_1,0.33,0.36,0.46,0.3,0.3,46.95,0.83,0.8,0.56,0.7,1.01,0.78,0.86,0.11,0.99,0.91
h_1,0.46,1.04,0.78,0.67,0.51,0.6,10.23,0.94,1.73,1.21,1.33,1.06,0.7,1.43,1.76,2.13
d_0,0.66,0.63,1.51,0.17,0.58,0.78,1.81,5.58,1.04,1.09,1.51,1.53,1.46,1.06,1.46,0.94
g_1,0.62,0.58,0.55,1.25,0.49,0.53,0.99,1.17,12.83,1.42,1.53,2.4,1.26,1.42,1.71,0.74
c_0,0.92,0.71,0.23,0.75,0.4,0.8,1.36,1.5,1.15,5.74,3.29,1.33,1.57,1.58,1.27,1.57
b_0,0.87,0.57,0.82,0.78,0.19,0.38,1.69,1.44,1.15,1.51,6.54,1.9,1.66,2.79,1.97,1.8
f_0,0.59,0.3,0.6,0.75,0.73,0.73,1.79,1.63,1.76,1.87,1.65,7.22,1.62,1.67,3.82,1.75
h_0,0.49,1.2,0.67,0.65,0.48,0.53,0.64,1.18,1.92,1.46,1.58,1.6,0.86,1.53,1.61,2.26
a_0,0.75,0.57,0.72,0.95,0.58,,1.01,1.74,1.21,1.61,1.5,1.14,1.81,8.38,2.31,1.48
e_0,0.22,0.86,0.85,0.56,0.53,0.84,2.15,1.73,1.16,1.79,1.58,1.49,2.09,1.59,9.01,1.84
g_0,0.47,0.63,0.88,1.11,0.45,0.59,1.05,1.33,0.69,1.16,1.84,2.26,2.43,1.69,1.72,0.83
