,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,16.07,0.53,0.45,0.81,0.54,0.5,0.75,0.83,2.06,0.94,1.01,1.04,0.97,0.9,0.41,0.94
f_1,1.09,17.08,0.58,0.49,0.43,0.47,0.79,0.75,0.75,0.82,0.86,0.34,0.99,0.86,0.66,0.92
d_1,0.53,0.54,20.59,0.38,0.53,0.54,0.79,0.9,0.3,2.12,1.38,0.89,1.06,1.11,1.08,0.82
c_1,0.4,0.49,0.47,20.29,1.22,0.52,0.96,0.76,0.91,0.26,0.74,0.9,0.87,1.0,0.91,0.94
b_1,0.42,0.64,0.52,0.59,20.78,1.04,1.1,0.84,0.74,0.68,0.27,1.01,0.82,0.53,1.19,0.82
a_1,0.56,0.59,0.53,0.52,0.41,31.81,0.98,0.88,0.95,0.88,0.91,1.15,1.09,0.56,0.88,1.16
h_1,0.57,1.11,0.81,0.56,0.66,0.59,5.5,1.66,0.97,0.92,0.9,0.99,0.5,0.99,1.13,2.0
g_1,0.47,0.55,1.47,0.61,0.67,0.54,0.96,6.95,1.07,1.16,1.04,2.22,1.03,1.05,1.04,0.66
d_0,0.62,0.68,0.25,1.74,0.72,0.9,0.9,0.98,3.23,0.8,1.22,1.18,1.32,0.97,1.19,0.88
c_0,0.66,0.86,0.84,0.4,0.42,0.73,1.15,1.24,1.07,3.53,2.94,1.13,1.49,1.64,1.34,1.17
b_0,0.81,0.71,0.73,0.69,0.28,0.57,1.08,1.07,1.31,1.53,4.04,1.39,1.35,3.08,1.37,1.33
f_0,0.59,0.31,0.82,0.71,0.69,0.79,1.39,1.18,1.33,1.04,1.13,3.58,1.31,1.21,3.51,1.38
h_0,0.69,1.14,0.77,0.69,0.61,0.57,0.59,1.61,1.13,1.19,1.1,1.19,0.79,1.19,0.99,1.9
a_0,0.85,0.85,0.86,0.6,0.59,0.29,1.21,1.19,0.85,1.34,1.38,1.24,1.26,5.24,1.26,1.27
e_0,0.28,0.72,0.91,0.64,0.65,0.72,1.32,1.46,1.19,1.05,1.41,1.53,1.53,1.12,5.39,1.8
g_0,0.62,0.61,1.35,0.73,0.65,0.57,1.11,0.74,0.98,1.26,0.97,2.18,1.07,1.25,1.85,0.74
