,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.3,0.61,0.52,0.67,0.5,0.41,1.1,0.95,1.23,2.19,1.3,1.2,1.48,0.97,0.58,1.42
f_1,1.05,2.32,0.57,0.53,0.39,0.36,0.96,0.79,1.18,1.03,1.17,0.56,1.35,0.83,0.62,1.09
d_1,0.56,0.68,2.35,0.4,0.42,0.37,1.29,1.1,2.21,0.6,1.4,1.27,1.43,1.06,1.04,1.4
c_1,0.57,0.57,0.44,2.45,1.1,0.29,0.87,0.86,0.51,1.27,0.91,1.07,1.33,0.97,0.92,1.15
b_1,0.49,0.61,0.56,0.56,2.66,0.93,0.97,0.9,1.11,0.97,0.54,0.91,1.25,0.77,0.95,1.17
a_1,0.56,0.55,0.7,0.68,0.41,3.27,1.17,0.8,1.08,1.34,1.05,1.09,1.94,0.43,0.97,1.5
h_1,0.68,0.98,0.76,0.68,0.54,0.42,3.04,1.51,1.35,1.18,1.35,1.07,1.01,1.32,1.16,2.3
g_1,0.51,0.58,1.27,0.53,0.55,0.46,1.38,3.4,1.5,0.98,1.1,2.35,1.82,1.14,1.16,1.04
c_0,0.79,0.8,0.82,0.46,0.45,0.49,1.31,1.25,2.67,1.32,2.65,1.48,1.98,1.49,1.25,1.81
d_0,0.67,0.68,0.34,1.38,0.68,0.4,1.19,1.12,1.1,2.71,1.25,1.46,1.71,1.42,1.25,1.64
b_0,0.82,0.79,0.74,0.66,0.34,0.36,1.42,1.13,1.44,1.65,2.86,1.62,2.03,2.62,1.53,1.65
f_0,0.49,0.54,0.8,0.82,0.55,0.47,1.4,1.32,1.55,1.72,1.62,2.95,2.11,1.43,2.96,1.51
h_0,0.7,1.14,0.8,0.59,0.51,0.45,0.88,1.41,1.49,1.46,1.23,1.48,1.25,1.38,1.26,2.23
a_0,0.76,0.69,0.95,0.68,0.64,0.3,1.29,1.18,1.64,1.26,1.46,1.22,1.91,2.88,0.99,1.7
e_0,0.41,0.8,0.82,0.88,0.64,0.45,1.4,1.2,1.36,1.56,1.72,1.51,1.96,1.51,3.28,1.74
g_0,0.69,0.71,1.12,0.6,0.53,0.45,1.47,0.87,1.46,1.25,1.46,2.13,1.49,1.35,1.28,1.17
