,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.65,1.0,0.76,0.93,0.7,0.53,0.43,0.4,0.64,0.4,0.37,0.31,0.3,,0.38
f_1,1.55,1.0,1.07,0.91,0.75,0.88,0.36,0.54,0.33,0.37,0.4,,0.27,0.37,0.3,0.29
d_1,1.0,0.93,1.0,1.07,0.74,0.77,0.53,0.73,0.38,,0.39,0.4,0.36,0.32,0.38,0.23
c_1,1.32,1.1,0.94,1.0,1.3,0.8,0.56,,0.54,0.28,0.47,0.47,0.38,0.37,0.35,0.38
b_1,1.08,1.33,1.35,0.77,1.0,1.18,0.72,0.45,0.4,0.52,,0.51,0.46,0.37,0.41,0.41
a_1,1.44,1.14,1.29,1.25,0.85,1.0,0.69,0.62,0.55,0.46,0.56,0.49,0.56,,,0.45
h_1,1.9,2.76,1.89,1.8,1.39,1.45,1.0,0.82,1.1,1.07,0.81,0.86,,0.65,0.52,0.74
c_0,2.34,1.87,1.37,,2.22,1.6,1.23,1.0,0.97,0.74,1.21,0.98,1.05,0.85,0.75,0.8
g_1,2.52,3.02,2.62,1.84,2.49,1.82,0.91,1.03,1.0,0.95,0.94,0.93,0.67,,0.7,
d_0,1.57,2.71,,3.55,1.94,2.16,0.94,1.35,1.06,1.0,1.11,0.74,0.88,0.63,0.75,0.82
b_0,2.47,2.48,2.55,2.14,,1.79,1.23,0.82,1.06,0.9,1.0,1.06,0.77,1.34,0.83,0.84
f_0,2.67,,2.49,2.11,1.97,2.02,1.16,1.02,1.07,1.36,0.94,1.0,0.85,0.88,1.17,0.74
h_0,3.25,3.74,2.8,2.62,2.16,1.79,,0.95,1.49,1.13,1.3,1.18,,0.68,0.78,0.97
a_0,3.3,2.72,3.11,2.69,2.7,,1.53,1.18,,1.59,0.75,1.13,1.48,1.0,0.99,0.73
e_0,,3.35,2.61,2.82,2.45,,1.91,1.34,1.43,1.33,1.21,0.86,1.28,1.01,1.0,1.0
g_0,2.63,3.43,4.41,2.61,2.47,2.21,1.35,1.25,,1.22,1.19,1.35,1.03,1.37,1.0,
