,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.4,0.56,0.85,0.92,0.83,0.75,0.52,0.54,0.37,0.44,0.41,0.4,0.4,0.32,0.54,0.38
f_1,0.82,0.4,0.74,1.0,0.68,0.89,0.35,0.48,0.34,0.34,0.32,0.5,0.38,0.23,0.35,0.34
d_1,0.93,0.92,0.39,0.73,0.81,0.72,0.43,0.32,0.4,0.58,0.36,0.34,0.35,0.29,0.32,0.23
c_1,0.67,0.75,1.01,0.39,1.09,0.69,0.39,0.35,0.42,0.23,0.33,0.37,0.29,0.32,0.38,0.3
b_1,0.89,1.02,0.78,0.47,0.38,1.03,0.46,0.47,0.44,0.4,0.68,0.36,0.4,0.35,0.35,0.32
a_1,0.93,0.78,0.86,0.87,0.49,0.31,0.48,0.58,0.41,0.4,0.48,0.39,0.58,0.37,0.33,0.34
h_1,0.65,0.81,0.67,0.76,0.74,0.66,0.26,0.39,0.31,0.31,0.35,0.3,0.32,0.35,0.31,0.33
g_1,0.63,0.74,0.76,0.81,0.74,0.65,0.33,0.22,0.31,0.34,0.33,0.38,0.33,0.21,0.36,0.32
c_0,0.79,0.75,0.46,1.32,0.68,0.82,0.42,0.45,0.24,0.45,0.35,0.33,0.39,0.27,0.29,0.27
d_0,0.45,0.69,1.03,0.9,0.75,0.68,0.47,0.47,0.34,0.24,0.37,0.36,0.29,0.26,0.31,0.3
b_0,0.7,0.76,0.63,1.12,0.77,0.55,0.36,0.42,0.2,0.37,0.23,0.33,0.43,0.32,0.29,0.27
f_0,0.72,1.0,0.7,0.7,0.8,0.71,0.44,0.25,0.31,0.31,0.3,0.22,0.3,0.32,0.35,0.18
a_0,0.67,0.67,0.72,0.9,0.78,0.86,0.39,0.4,0.27,0.39,0.18,0.39,0.2,0.28,0.3,0.36
h_0,0.7,0.77,0.74,0.73,0.73,0.6,0.44,0.45,0.3,0.37,0.28,0.29,0.31,0.35,0.3,0.28
e_0,0.91,0.85,0.72,0.69,0.67,0.75,0.44,0.36,0.34,0.35,0.34,0.19,0.34,0.28,0.2,0.21
g_0,0.73,0.78,0.78,0.72,0.7,0.66,0.3,0.43,0.3,0.36,0.32,0.34,0.28,0.23,0.33,0.31
