,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,13449.78,5177.2,7502.16,8976.33,15434.83,60936.41,7377810.94,31671146.18,19601336.58,20785994.14,33945382.68,58374709.96,191574892.31,427572718.61,186955741.35,421496797.27
d_1,5292.54,15192.04,7037.09,5909.25,13353.93,65610.98,7032196.65,13687471.62,36631756.62,19880963.8,46483823.35,59834391.93,222860621.14,430153957.78,370636375.6,512987216.26
f_1,10065.33,5471.82,15780.74,8047.99,12698.1,62937.84,6167562.64,20453938.37,18384679.05,16277178.97,30952421.27,34564625.88,210548791.45,348995323.24,207188058.0,345609556.07
c_1,5794.22,5637.25,7010.52,16837.75,27124.55,67650.03,7211585.99,14705911.61,15631140.16,18314429.09,23395680.39,49758273.6,184696177.59,365300994.96,256659164.26,357271204.46
b_1,6015.69,6471.15,6985.63,7199.22,38589.16,127078.13,7207922.0,18355142.5,17223115.66,18727534.0,25055883.52,52810467.48,206517312.1,398156888.05,269522701.46,342322818.81
a_1,6196.83,6740.07,7602.56,7405.01,12318.22,250886.63,7808771.4,20113592.21,20773331.92,19600516.7,37551803.45,66513124.84,201115219.9,409664491.79,321851465.28,321079969.56
h_1,6110.3,7580.26,9506.63,7586.36,14118.84,69763.39,13227197.85,18173721.89,20172073.88,25757280.79,36413600.13,58509192.02,165259227.39,504124542.39,277854141.88,443694525.55
d_0,5962.36,4451.73,8034.16,13132.98,18950.59,68117.08,8162808.25,28406805.24,14125977.21,20544613.7,35409204.42,56853652.43,204893628.34,351540382.83,252217900.74,480646717.85
c_0,6593.28,7963.04,7826.53,6965.46,12676.81,77410.48,7359972.54,19895343.38,33850330.93,19481331.16,66153303.16,67298197.52,229840470.78,463665702.75,335779658.51,610118313.04
g_1,4672.99,9668.37,6363.9,7703.99,16978.29,73165.44,7634873.35,17125990.05,23016731.23,41417523.55,38520594.25,85067099.63,203456166.3,394071931.44,347520556.79,452771727.98
b_0,6243.89,7108.61,8503.79,8932.19,13230.26,57295.9,8285524.21,19832069.76,23536482.58,20089346.27,61710341.43,60139537.29,229059735.29,468695809.74,273763483.67,922127270.36
f_0,5089.18,8306.31,5853.04,7939.05,16526.01,79088.62,8033763.5,20098901.88,23198523.95,22556128.98,44486796.87,96960164.99,235395374.53,486988990.53,561091769.52,569800993.99
h_0,6488.25,7215.03,9240.09,7977.35,13923.32,65492.03,6159844.36,19983716.85,19673878.01,25501606.84,38056621.58,61243266.42,167102637.52,531314684.92,279167114.3,433560665.88
g_0,5504.8,10262.38,6517.76,8083.91,14763.02,65519.36,7482933.06,17531300.86,23991157.93,20167567.87,37093499.0,86946363.27,203133887.25,306266242.62,307689038.9,445936496.39
e_0,3785.17,8237.29,8802.28,7873.07,16507.43,73725.49,8022327.31,16923290.09,24603359.15,21016728.62,43014172.98,74585520.61,254940157.41,475942831.33,654763384.78,568711391.52
a_0,6107.32,7628.05,7594.5,9672.57,14979.31,69078.67,7941004.18,19934990.06,22235800.73,23453909.5,44481924.27,66062013.71,252160018.16,441410834.62,320771642.33,850283484.83
