,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.48,0.11,0.13,0.15,0.19,0.11,0.2,0.21,0.37,0.17,0.19,0.16,0.16,0.23,,0.18
f_1,0.28,1.5,0.19,0.18,0.19,0.15,0.17,0.18,0.18,0.16,,0.22,0.13,0.21,0.12,0.17
c_1,0.2,0.16,1.53,0.17,0.21,0.14,0.21,0.19,0.18,,0.22,0.18,0.21,0.24,0.13,0.18
d_1,0.19,0.16,0.14,1.54,0.16,0.13,0.22,0.2,,0.24,0.27,0.21,0.21,0.19,0.19,0.16
b_1,0.17,0.16,0.17,0.17,1.56,0.2,0.24,0.17,0.22,0.22,0.22,,,0.21,0.14,0.24
a_1,0.19,0.21,0.21,0.15,0.16,1.77,0.26,,0.22,0.25,0.15,0.19,,0.24,,
h_1,0.46,0.52,0.33,0.34,0.34,0.29,1.62,0.56,0.55,0.53,0.33,0.38,0.34,,0.4,0.47
g_1,0.3,0.41,0.38,0.56,0.34,,0.4,1.7,0.44,0.54,0.6,0.42,0.41,0.47,0.44,
d_0,0.43,0.54,0.73,,0.51,0.34,0.48,0.4,1.43,0.56,0.41,0.45,0.41,0.61,0.45,0.64
c_0,0.51,0.52,,0.49,0.41,0.29,0.48,0.5,0.54,1.46,0.6,0.95,0.44,0.64,0.43,0.63
f_0,0.54,,0.42,0.35,0.4,0.49,0.76,0.47,0.71,0.52,1.49,0.52,0.58,0.69,0.65,0.47
b_0,0.51,0.43,0.54,0.53,,0.38,0.68,0.65,0.42,0.41,0.55,1.52,0.71,0.49,0.55,0.58
a_0,0.47,0.6,0.4,0.47,,,0.55,0.43,0.5,0.75,0.57,0.36,1.62,0.7,,0.66
h_0,0.59,0.86,0.61,0.67,0.51,0.45,,0.75,0.78,0.7,0.46,0.65,0.77,,0.43,0.79
e_0,,0.65,0.55,0.46,0.64,,0.61,0.56,0.56,0.65,0.48,0.46,,0.66,1.68,0.52
g_0,0.58,0.7,0.71,0.86,0.47,,0.81,,0.68,0.47,0.98,0.77,0.56,0.68,0.54,
