,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,7457.82,1102.65,1410.66,2398.06,2923.67,15087.75,1729055.34,8793818.25,4213145.25,4924455.98,10826597.65,14257953.7,51797863.66,25454049.16,87379990.77,178385957.77
f_1,1406.47,10632.58,1549.92,2033.2,2925.0,15083.2,1835634.96,3532195.58,3286569.43,5287636.29,11797926.31,2641636.22,47749192.93,58803693.1,89510534.24,150369407.27
d_1,764.08,1072.03,18951.61,1601.87,2739.99,13053.84,2004103.36,1045046.0,4206735.42,12404999.05,13184434.74,16632857.49,51551045.34,79890342.61,75600671.49,146572549.02
c_1,676.36,1042.3,1870.77,22557.17,5046.43,18407.4,2086069.15,3121284.39,4114432.91,1053467.92,9348049.03,14243460.22,45963390.07,52493769.64,87792840.78,210264803.05
b_1,902.8,987.35,1685.9,1851.17,34399.86,32272.33,1854176.48,4327602.22,4353264.89,3571032.92,1694751.11,17088504.4,59499281.96,59196482.79,51841893.5,189089702.83
a_1,718.2,1360.33,1968.51,1906.35,2151.32,296212.13,1768797.29,4473002.19,3429568.04,8377649.02,10699189.86,13108183.07,49504794.2,70232746.4,,200656017.04
h_1,1188.88,2874.02,3310.85,3739.86,5101.24,24101.34,13227841.3,7392365.2,8757789.71,8958807.97,18578067.14,17761304.33,22319943.22,89968123.67,119641499.03,314440404.04
d_0,1512.16,2017.93,872.2,7204.28,5116.31,20748.11,3036652.26,19183816.52,7282875.35,8606552.39,15362732.66,28987607.01,67369567.76,98873386.61,145910610.77,280190144.93
g_1,1286.87,1593.1,5057.27,3428.85,4796.87,25854.84,2452389.64,5831898.5,36812929.4,8953984.28,15919286.53,40829004.54,79052678.17,138463555.86,189463240.73,91304024.77
c_0,1456.11,2516.85,4332.53,1703.56,3582.76,20398.03,3822787.71,5692399.58,7802215.35,29756369.38,36625736.83,24575631.52,84546304.62,145637124.84,161657332.55,361222047.24
b_0,2051.3,2245.41,3751.58,3231.24,998.46,18592.46,3298571.94,7034960.41,7721153.37,11358210.46,59258041.25,26375536.93,91660566.84,148849389.29,351746007.15,297890909.09
f_0,1795.4,1034.43,3046.64,3250.79,4798.4,31107.77,3770827.48,7611920.63,10032501.88,12429637.0,22733549.62,82370204.33,88990841.59,267886081.77,95829356.02,381763106.8
h_0,1536.75,2749.07,3582.24,3421.72,3316.13,21406.78,1543014.36,7501364.15,9915651.88,10245895.7,19490033.97,21767250.69,41117576.57,135493159.42,123976335.95,474898550.72
e_0,412.02,3009.6,3193.31,4636.12,4594.94,22399.49,4453403.96,7563904.8,7482165.29,12780490.78,19437623.79,32027437.7,84178071.58,541449498.08,152286536.62,318317714.29
a_0,1405.29,2552.8,4013.83,4189.27,2953.69,,3694311.01,6747227.41,11085591.69,9292006.17,22397654.2,19861097.09,88741942.94,168958337.35,689740449.23,315836144.58
g_0,1046.22,1735.42,4800.2,4979.54,5230.01,18179.29,3151452.53,6279010.72,,10283153.5,13711812.13,35900036.38,72019016.8,121284687.57,111864801.59,120149333.33
