,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,10027.68,4560.74,5483.18,9694.92,12149.02,56134.57,5454921.59,9696786.55,28480899.54,18794627.06,24358964.27,61216240.09,108706929.02,163688449.23,133350291.35,451421282.16
f_1,6039.73,12056.38,6101.44,7281.38,10631.91,50641.2,5304241.21,8018485.56,15849610.51,18784042.37,24408271.84,38074946.92,87475820.92,133482729.44,156981401.79,461228648.03
d_1,3346.46,4517.01,18475.4,5877.03,11497.2,57660.83,6026336.68,11364443.0,11413145.36,37314359.41,30787914.37,69924601.79,95833931.21,151503881.2,229342252.15,641670190.06
c_1,3569.16,4320.63,5929.11,22636.65,22043.34,54606.83,5671374.92,9463407.06,14358742.95,9993637.82,16020586.04,61807640.15,89632353.1,138573789.81,199079064.83,467105533.91
b_1,3542.48,4434.57,6243.67,6958.9,41738.0,110868.04,5452332.13,9868556.56,15187144.81,15611295.42,14672850.02,68061009.49,62737806.59,163784111.74,187848873.63,585141714.29
a_1,4001.25,4558.77,5855.09,7333.65,11602.55,289600.48,6094300.45,11077612.66,14544244.85,20350553.28,24878033.61,64235247.02,77864769.79,162040848.78,256147063.64,635415440.4
h_1,3984.49,6382.32,7520.66,8424.35,11894.87,46308.54,12242959.9,15297149.12,16733242.4,21313745.58,24022575.56,72087907.39,102966629.14,106862032.45,242934539.56,802330794.46
g_1,3574.06,3688.62,10469.02,8890.32,12158.06,53661.15,6064173.61,25746207.75,18282049.48,21008520.93,25341942.33,106315515.99,96943511.56,186480554.3,253189115.15,429101706.23
d_0,4144.38,4512.13,5086.41,14426.05,13762.47,61958.16,6302537.05,11313091.62,27780976.78,16460356.44,23324896.85,70006985.98,97169989.28,170918941.77,246284406.14,536313562.17
c_0,4553.21,4937.39,7416.29,6638.85,12089.19,58052.24,6200612.96,11457467.28,19325725.58,37881046.76,54566099.88,91677815.25,147569438.33,202276546.07,248152982.21,680917242.1
b_0,4333.23,5058.06,6694.14,9561.54,9948.57,50205.54,6352014.37,11629286.6,20401007.91,21953694.37,49920591.3,80446237.04,216511250.79,184793734.79,254882139.86,614506470.78
f_0,3237.96,3865.71,7571.01,8655.08,12467.8,81133.16,6037335.38,12440829.8,23176958.32,26659805.64,27521938.21,151143845.15,137644141.23,199416794.85,542279105.98,744190881.82
a_0,4385.74,5687.89,7408.13,7784.11,13889.65,47885.54,6836337.34,10922255.36,18178827.09,22880912.38,28894825.6,81319420.99,191651533.44,184694749.59,280936173.78,614581798.71
h_0,3900.66,6774.33,7665.36,8575.9,11994.62,60982.44,4438406.38,11977658.48,16705416.91,20950163.93,27497539.32,61003683.7,89857451.82,123730025.22,271311508.57,754785265.9
e_0,3271.07,5592.72,7140.89,8457.8,13355.81,65502.12,7401375.21,12166108.93,15948083.65,21452789.65,26459290.47,75109675.01,103340713.17,181694572.88,508375276.24,727563183.64
g_0,3216.68,4960.54,11415.4,7708.38,12003.88,54361.49,5833334.09,10067856.71,14431676.25,26629337.29,26337779.16,114434496.32,97736578.14,161286550.56,265774539.0,529793032.53
