,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.31,1.76,1.04,0.91,0.9,0.62,2.0,2.43,1.51,2.17,2.1,1.54,2.47,1.84,1.47,2.57
e_1,1.24,2.38,1.31,0.9,0.9,0.76,1.97,3.62,1.72,2.01,2.06,2.17,2.71,1.7,1.63,2.48
c_1,1.09,1.03,2.45,1.0,1.68,0.86,1.83,2.04,1.62,1.33,1.6,1.79,2.7,1.71,1.36,2.38
d_1,1.12,1.09,0.87,2.54,0.93,0.83,2.04,1.64,1.95,3.61,2.57,1.82,2.97,1.99,1.69,2.49
b_1,1.1,0.95,1.03,1.07,2.65,1.66,2.05,1.94,1.7,1.94,1.5,2.09,2.79,1.4,1.82,2.55
a_1,1.16,0.98,1.12,1.14,0.91,3.13,2.28,2.16,1.93,1.99,2.08,2.02,2.7,1.34,2.2,2.54
h_1,1.49,1.14,1.13,1.16,1.01,0.75,3.38,2.23,2.08,2.22,2.45,1.94,2.39,1.95,2.25,3.35
d_0,1.16,0.99,1.88,0.86,1.1,0.83,1.79,3.21,1.93,1.7,2.43,2.04,3.07,2.18,2.18,2.4
g_1,1.11,1.04,1.15,1.53,1.11,0.82,2.12,1.84,3.77,2.22,2.13,2.89,2.95,2.12,2.26,2.07
c_0,1.24,1.18,1.01,1.2,0.88,0.72,2.23,2.45,2.08,3.37,4.25,2.3,3.41,3.12,2.2,2.72
b_0,1.29,1.21,1.26,1.08,0.83,0.6,2.29,2.47,1.88,2.18,3.54,2.37,3.36,3.87,2.21,2.63
f_0,1.07,0.99,1.22,1.17,1.2,0.93,2.27,2.53,2.11,2.18,2.34,3.62,3.61,2.44,4.27,2.51
h_0,1.59,1.26,0.97,1.18,0.97,0.78,1.76,2.17,2.39,1.93,2.19,2.09,2.06,1.63,2.16,3.04
a_0,1.3,1.27,1.26,1.15,1.04,0.68,2.19,2.47,1.89,2.4,1.96,2.01,3.29,3.79,2.05,2.76
e_0,1.14,0.9,1.21,1.38,1.17,0.88,2.23,1.87,2.38,2.49,2.59,1.77,3.25,2.13,3.61,2.81
g_0,1.1,1.04,1.11,1.65,1.11,0.81,1.97,2.13,1.42,2.22,2.23,3.07,2.95,1.68,2.5,2.11
