,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.83,1.07,0.59,0.6,0.49,0.64,0.8,0.9,0.81,0.84,0.96,0.37,0.88,0.87,0.62,0.86
e_1,0.61,2.93,0.46,0.71,0.66,0.55,0.96,0.75,0.94,1.77,1.06,0.87,1.05,0.91,0.44,0.93
d_1,0.71,0.59,2.96,0.52,0.55,0.65,0.99,0.94,1.73,0.31,1.19,1.29,1.01,1.01,1.02,1.0
c_1,0.5,0.64,0.59,3.06,1.22,0.51,0.72,0.64,0.25,0.85,0.6,0.84,0.86,0.95,0.83,0.93
b_1,0.64,0.49,0.72,0.67,3.28,0.93,0.77,0.76,0.81,0.86,0.36,0.95,0.78,1.07,1.15,1.0
a_1,0.71,0.55,0.69,0.62,0.5,4.76,0.91,0.96,1.02,1.01,0.9,0.93,0.33,1.01,1.09,1.12
h_1,1.05,0.64,0.93,0.68,0.63,0.54,3.2,1.49,1.26,1.09,1.14,1.05,0.96,0.63,1.22,1.54
g_1,0.77,0.57,1.23,0.79,0.6,0.63,0.93,3.9,0.88,0.87,1.22,1.88,1.0,1.14,1.53,0.59
c_0,0.83,0.7,0.88,0.39,0.51,0.83,1.39,1.39,2.57,1.09,2.43,1.33,1.67,1.35,1.26,1.21
d_0,0.76,0.73,0.34,1.42,0.75,0.77,1.45,1.05,0.77,2.45,1.06,1.11,1.08,1.21,1.0,1.05
b_0,0.91,0.75,0.9,0.81,0.33,0.52,1.16,1.21,1.24,1.16,2.75,1.4,2.65,1.4,1.08,1.11
f_0,0.48,0.68,0.88,0.83,0.67,0.8,1.23,1.47,1.27,1.07,1.21,2.88,1.37,1.4,2.63,1.12
a_0,0.84,0.6,1.0,0.77,0.79,0.35,1.37,1.26,1.16,1.03,1.21,1.19,3.3,1.44,1.36,1.18
h_0,1.19,0.67,0.92,0.65,0.59,0.79,0.66,1.78,1.14,1.11,1.33,1.04,1.12,0.69,1.39,1.44
e_0,0.83,0.28,0.94,0.98,0.56,0.75,1.44,1.45,1.01,1.22,1.27,1.36,1.24,1.18,4.34,1.46
g_0,0.63,0.64,1.38,0.75,0.67,0.76,1.3,0.67,1.11,0.83,1.34,1.83,1.2,1.01,1.38,0.68
