,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,3.87,0.41,0.37,0.33,0.42,0.36,0.72,0.74,1.59,0.2,0.99,0.9,0.93,1.01,0.7,0.67
e_1,0.27,3.85,0.38,0.48,0.4,0.47,0.7,0.7,0.84,1.49,0.9,0.9,0.88,0.86,0.76,0.19
f_1,0.4,0.76,3.99,0.42,0.28,0.35,0.86,0.52,0.67,0.84,0.76,0.24,0.87,0.66,0.7,0.7
c_1,0.32,0.38,0.43,4.32,0.67,0.37,0.87,0.75,0.19,0.82,0.41,0.61,1.01,0.95,0.9,1.09
b_1,0.42,0.4,0.46,0.38,4.88,0.73,0.62,0.67,0.61,0.77,0.25,0.79,0.88,0.88,0.5,0.84
a_1,0.47,0.43,0.38,0.43,0.39,7.08,0.56,0.62,0.76,0.72,0.88,0.99,0.92,0.71,0.17,0.71
h_1,0.76,0.43,0.92,0.57,0.85,0.49,5.19,2.08,1.67,1.31,1.3,1.6,0.48,2.09,1.48,1.58
g_1,1.23,0.44,0.6,0.57,0.78,0.61,1.13,6.36,0.98,1.0,1.51,1.86,1.02,0.42,1.49,1.53
c_0,0.85,0.69,0.82,0.25,0.5,0.6,1.56,1.56,3.81,1.47,3.23,1.46,1.79,1.87,2.21,1.68
d_0,0.32,0.55,0.92,1.36,0.51,0.56,1.6,1.3,1.19,3.7,1.31,1.69,1.41,1.49,1.64,1.58
b_0,0.84,0.55,0.8,0.95,0.25,0.47,1.39,1.44,1.58,1.83,4.52,1.4,1.64,1.55,3.39,1.42
f_0,0.94,0.71,0.34,0.74,0.76,0.6,1.31,1.2,1.51,1.35,1.77,4.92,1.67,1.71,1.86,2.74
h_0,0.77,0.6,0.95,0.74,0.64,0.52,0.51,2.14,1.3,1.25,1.44,1.37,0.61,2.0,1.06,1.87
g_0,1.03,0.61,0.7,0.52,0.56,0.79,1.28,0.7,1.45,1.19,1.37,2.44,1.26,0.67,1.29,1.68
a_0,0.83,0.6,0.73,0.84,0.77,,1.37,1.38,1.23,1.34,1.41,1.68,1.93,1.36,6.91,1.7
e_0,1.0,0.18,0.66,0.69,0.86,0.66,1.48,1.47,1.61,1.45,1.64,1.63,1.75,1.42,1.78,7.23
