,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,16.95,1.16,0.56,0.53,0.42,0.43,0.75,0.74,0.84,0.86,0.3,0.85,0.64,1.07,0.64,0.95
e_1,0.52,16.63,0.41,0.67,0.6,0.57,0.92,2.08,0.87,0.9,1.0,0.97,1.05,1.02,0.36,0.82
d_1,0.55,0.64,19.8,0.36,0.39,0.6,0.88,0.34,0.84,2.19,1.02,1.21,0.89,0.93,1.19,0.97
c_1,0.51,0.38,0.47,20.01,1.17,0.5,0.84,1.01,0.73,0.26,0.95,0.72,0.89,0.95,1.09,1.14
b_1,0.61,0.37,0.59,0.5,21.97,1.15,0.79,0.77,0.84,0.7,1.1,0.28,0.81,0.88,1.05,0.85
a_1,0.63,0.48,0.53,0.57,0.54,32.88,0.93,0.95,0.83,0.85,0.91,1.06,0.45,0.79,0.92,0.77
h_1,0.97,0.58,0.78,0.7,0.6,0.56,5.5,0.95,1.74,1.23,1.02,1.04,1.1,0.69,0.9,1.74
d_0,0.68,0.56,0.31,2.17,0.64,0.42,1.21,2.96,1.0,0.81,1.05,1.3,1.15,1.29,1.16,1.44
g_1,0.45,0.6,1.51,0.52,0.61,0.7,1.07,0.88,7.11,0.88,1.65,1.28,1.18,1.28,1.21,0.71
c_0,0.93,0.61,0.72,0.31,0.51,0.68,1.43,1.03,1.36,3.44,1.53,3.24,1.92,1.37,1.4,1.32
f_0,0.37,0.54,0.86,0.93,0.64,0.69,1.25,1.22,1.28,1.33,3.91,1.54,1.62,1.46,3.46,1.2
b_0,0.83,0.63,0.89,0.73,0.39,0.31,1.31,1.02,1.1,1.25,1.42,4.3,3.87,1.37,1.14,1.22
a_0,0.68,0.66,0.98,0.67,0.71,0.16,1.38,1.01,1.28,1.18,1.52,1.11,4.29,1.35,1.35,1.33
h_0,1.06,0.62,0.91,0.88,0.6,0.59,0.56,1.07,1.38,1.14,1.07,1.16,1.1,0.51,1.27,1.77
e_0,0.57,0.3,0.82,0.92,0.83,0.87,1.16,1.01,1.16,1.12,1.23,1.18,1.48,1.37,4.96,1.19
g_0,0.5,0.63,1.37,0.75,0.48,0.66,1.28,0.97,0.61,1.0,2.75,1.07,1.21,1.19,1.45,0.62
