,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,10.47,1.79,0.63,0.64,0.51,0.54,0.94,0.85,1.03,0.81,0.98,0.65,0.96,1.13,0.71,0.86
e_1,0.68,10.31,0.56,1.04,0.73,0.63,0.8,0.87,2.51,0.88,0.98,0.97,0.99,1.02,0.75,0.98
d_1,0.8,0.63,13.22,0.48,0.61,0.66,1.11,1.12,0.59,2.63,1.33,1.15,1.11,1.1,1.07,1.21
c_1,0.64,0.49,0.74,12.6,2.21,0.71,0.9,0.78,0.71,0.46,0.64,0.89,0.87,0.86,0.96,0.81
b_1,0.63,0.74,0.65,0.7,13.36,1.95,0.97,0.88,0.75,0.84,0.59,0.9,0.85,0.56,0.98,0.8
a_1,0.79,0.6,0.8,0.77,0.7,18.69,0.94,0.84,0.9,1.11,0.89,0.9,1.22,0.6,1.04,1.11
h_1,1.49,0.7,0.89,0.61,0.61,0.72,2.98,1.48,0.71,0.87,1.1,1.13,0.8,1.16,0.97,1.46
g_1,0.66,0.62,1.88,0.81,0.65,0.83,1.0,3.96,0.8,0.97,0.95,1.98,1.12,0.85,1.4,0.91
d_0,0.72,0.68,0.52,2.76,0.89,0.65,0.91,0.93,2.0,0.61,1.13,0.93,0.96,1.1,0.95,0.94
c_0,0.87,0.74,1.04,0.6,0.49,0.91,1.2,1.05,1.02,2.03,3.3,1.22,1.05,1.52,1.19,1.29
b_0,0.95,0.66,1.07,0.89,0.45,0.62,1.11,1.16,1.07,1.12,2.43,1.12,1.38,2.84,1.25,1.22
f_0,0.57,0.46,1.16,1.11,0.87,0.95,1.37,1.3,0.97,1.19,1.35,3.04,1.16,1.15,3.41,1.27
h_0,1.28,0.67,0.97,0.75,0.59,0.68,0.66,1.48,0.92,1.04,1.28,1.06,0.92,0.96,1.25,1.37
a_0,0.82,0.76,0.98,0.92,0.65,0.46,1.13,1.38,1.07,0.89,1.03,1.24,1.17,3.33,1.04,1.22
e_0,1.0,0.47,0.96,0.95,0.72,0.91,1.2,1.5,0.88,1.06,1.32,1.32,1.22,0.94,3.43,1.13
g_0,0.68,0.59,1.85,0.92,0.65,0.57,0.94,0.93,0.71,1.06,1.21,2.11,1.12,1.12,1.26,1.0
