,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,116.86,40.68,34.45,42.58,79.1,155.41,4633.5,7169.31,16353.12,14842.98,8079.74,26171.17,45022.21,36232.33,55140.43,105695.63
f_1,33.37,119.62,60.57,47.6,65.56,174.46,4771.63,6944.76,8840.56,14002.96,14462.29,7480.37,36650.27,42689.13,45766.82,101537.69
e_1,33.19,32.26,121.04,59.6,79.48,148.77,5459.56,7914.94,8805.2,12187.7,26379.81,23691.85,47625.97,40548.2,25258.45,87033.12
c_1,36.31,30.69,34.06,155.98,99.68,109.8,4394.06,7482.53,3654.08,9853.15,13159.55,23997.48,38583.08,41270.38,42380.36,102454.49
b_1,26.23,35.68,28.08,31.37,206.28,255.39,4103.95,5355.18,7942.22,3738.36,9803.18,15909.45,35808.36,38777.98,37215.51,81878.79
a_1,22.8,24.03,26.15,33.25,24.6,398.0,3663.84,4629.94,5938.92,11178.58,10828.6,13171.67,39916.41,13718.5,37944.77,61344.07
h_1,13.53,14.92,9.36,18.06,22.72,38.73,3210.85,3075.36,2870.28,4304.06,3532.66,7112.42,7693.25,12949.76,17154.21,41139.23
g_1,15.16,8.98,8.63,14.45,19.05,37.63,1203.57,4618.73,2114.59,3467.41,3013.42,8585.1,13195.34,11080.21,12639.79,19236.99
c_0,8.91,11.45,10.49,9.48,17.88,46.08,1425.63,2439.84,4328.34,6626.08,4241.42,8836.73,14756.79,13680.6,16291.8,31894.85
b_0,9.0,10.25,9.32,15.06,11.17,29.18,1259.27,1941.37,1956.11,5511.34,4080.1,6424.17,11462.54,17648.83,12858.49,23917.84
d_0,4.47,8.71,7.4,21.88,15.69,28.49,1259.01,2137.36,1989.75,2979.42,5754.98,5691.09,11479.42,10884.09,13068.01,18734.73
f_0,7.84,7.07,6.69,11.26,18.56,29.58,942.46,1507.53,1572.51,2756.9,2885.26,8477.76,10093.09,7637.31,20332.79,19178.51
h_0,7.45,7.54,5.76,9.06,12.33,19.33,651.2,1563.57,1483.87,2597.86,2550.08,4495.5,5322.34,6797.62,10445.82,20729.95
a_0,6.88,6.62,5.32,9.04,10.8,12.3,989.51,1371.19,1585.78,1985.09,2825.69,5050.89,9515.42,14508.68,7776.35,24055.82
e_0,6.2,6.27,2.21,9.93,11.02,21.89,762.24,1544.9,1342.2,2350.78,1978.68,2982.9,7590.91,9120.82,16710.17,17547.04
g_0,6.18,4.2,4.26,6.33,10.31,19.5,638.68,691.29,1168.6,1850.36,2216.62,4395.23,5423.05,4320.5,6987.92,9809.38
