,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.12,3.9,3.5,4.13,4.96,4.26,0.93,0.89,0.79,1.71,0.79,1.67,0.48,0.88,0.91,0.77
e_1,2.44,1.12,5.09,4.51,5.2,5.33,1.36,0.93,0.89,1.37,0.8,1.13,0.59,0.97,2.0,0.67
d_1,4.76,5.51,1.12,5.8,4.78,4.09,1.16,1.99,0.97,0.79,0.98,0.84,0.63,0.82,0.83,0.43
c_1,4.6,4.16,5.55,1.12,5.16,5.5,1.47,0.56,2.0,1.31,0.99,0.94,0.77,0.84,0.88,0.83
b_1,6.16,5.53,5.38,2.91,1.13,4.71,1.82,1.17,1.41,1.74,2.77,1.03,0.85,1.19,0.96,0.8
a_1,8.83,8.52,7.84,8.9,3.39,1.14,3.19,2.2,1.6,2.62,2.1,1.89,1.18,4.3,1.9,1.24
h_1,19.52,14.84,17.65,15.71,14.38,11.98,1.74,3.07,3.32,4.66,3.69,3.18,3.59,3.28,3.06,2.24
d_0,16.58,10.28,36.48,21.8,19.41,15.19,5.16,2.21,4.19,5.03,4.34,4.08,2.78,3.58,4.53,3.01
c_0,19.01,23.51,9.07,30.81,21.02,16.5,5.56,8.29,2.21,5.9,4.37,3.61,2.54,3.91,3.47,2.8
g_1,27.3,22.35,22.71,21.95,20.46,18.39,4.38,5.02,4.59,1.82,4.52,4.34,2.43,3.66,4.72,3.66
b_0,25.94,22.77,17.94,35.6,39.08,20.96,5.64,5.5,2.46,6.49,2.2,4.22,3.33,3.41,4.25,3.79
f_0,62.6,25.49,21.79,30.23,24.98,20.96,7.47,6.2,5.93,4.41,4.55,2.23,3.62,3.82,5.23,2.13
h_0,30.77,29.92,26.4,35.21,27.96,24.95,14.25,6.81,5.98,7.14,6.95,5.89,8.18,6.04,5.4,4.81
a_0,36.31,29.92,32.47,37.26,50.8,59.89,10.18,8.0,7.44,8.89,3.57,6.72,5.76,2.67,8.72,4.95
e_0,69.83,54.03,31.83,33.73,45.49,27.58,9.22,8.71,6.15,7.51,6.3,3.29,5.93,7.02,2.41,4.6
g_0,44.28,39.35,34.91,44.5,43.54,27.58,7.84,8.71,7.61,14.82,7.74,7.12,4.22,6.75,8.72,7.67
