,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,22.31,0.34,0.27,0.43,0.38,0.35,0.69,1.75,0.68,0.69,0.99,0.81,0.72,0.86,0.18,0.97
f_1,0.66,24.46,0.35,0.31,0.33,0.25,0.63,0.61,0.66,0.92,0.76,0.15,0.87,0.91,0.55,0.74
d_1,0.34,0.29,27.54,0.29,0.32,0.32,0.84,0.17,0.71,1.74,0.88,0.84,0.82,0.97,1.17,0.94
c_1,0.28,0.34,0.31,26.86,0.65,0.47,0.66,0.81,0.6,0.13,0.68,0.71,0.78,0.91,0.87,1.13
b_1,0.25,0.35,0.43,0.35,32.22,0.66,0.67,0.83,0.75,0.62,0.07,0.86,0.62,0.87,0.95,0.57
a_1,0.37,0.37,0.27,0.41,0.34,49.21,0.79,0.58,0.71,0.83,0.92,0.92,0.12,0.69,0.91,0.67
h_1,0.62,1.11,0.6,0.52,0.6,0.58,9.41,1.1,1.39,1.12,1.27,1.34,1.49,0.47,1.4,1.64
d_0,0.69,0.65,0.19,1.51,0.6,0.63,1.31,5.47,1.51,1.06,1.9,1.53,1.38,1.78,1.23,1.51
g_1,0.57,0.5,1.07,0.67,0.48,0.44,1.38,1.37,12.47,1.69,1.49,2.57,1.64,1.9,1.73,0.69
c_0,0.63,0.81,0.86,0.26,0.4,0.59,1.82,1.48,1.56,5.81,3.57,2.08,1.68,1.82,1.63,1.98
b_0,0.63,0.97,0.64,0.68,0.17,0.61,1.91,1.63,1.62,1.28,6.53,1.98,3.07,1.54,1.4,1.48
f_0,0.38,0.19,1.0,0.88,0.6,0.61,1.67,1.79,1.7,1.69,1.62,7.46,2.24,1.95,4.01,2.17
a_0,0.84,0.71,0.74,0.64,0.63,0.24,1.47,1.24,1.49,1.57,0.94,1.71,9.58,1.75,1.27,1.08
h_0,0.65,0.99,0.65,0.59,0.48,0.6,0.56,1.43,1.88,1.33,1.44,1.64,1.48,0.44,1.44,2.52
e_0,0.12,0.7,0.94,0.6,0.78,0.91,1.34,1.48,1.79,1.54,1.97,1.64,1.33,1.97,8.71,1.86
g_0,0.56,0.59,1.23,0.6,0.77,0.52,1.12,0.92,0.47,1.13,1.42,2.82,1.2,1.42,1.45,0.61
