,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.81,0.63,1.17,0.61,0.56,0.45,0.8,0.73,0.79,0.86,0.9,0.31,0.86,0.8,0.58,0.9
d_1,0.69,2.88,0.55,0.47,0.57,0.61,1.06,0.97,1.8,0.48,1.23,1.12,0.94,1.07,1.08,0.81
e_1,0.71,0.52,2.98,0.73,0.57,0.53,0.91,0.91,0.87,1.77,0.88,1.09,1.09,1.0,0.61,0.94
c_1,0.62,0.58,0.57,3.12,1.17,0.45,0.92,0.79,0.3,0.82,0.7,0.94,0.85,0.85,0.77,0.89
b_1,0.56,0.62,0.55,0.6,3.45,1.29,0.69,0.77,0.66,0.8,0.3,0.8,0.94,0.81,1.02,1.16
a_1,0.64,0.63,0.42,0.65,0.67,5.0,1.09,0.95,1.0,0.72,0.98,1.08,1.25,0.4,1.11,1.0
h_1,0.95,0.7,0.73,0.9,0.41,0.67,3.4,1.3,1.06,0.97,1.36,1.06,0.68,1.09,1.12,1.77
g_1,0.59,1.26,0.54,0.75,0.72,0.68,0.9,3.7,1.12,1.04,1.16,1.71,0.96,1.09,1.2,0.71
c_0,0.9,0.96,0.73,0.54,0.46,0.62,1.08,1.23,2.4,1.17,2.26,1.33,1.34,1.3,1.18,1.28
d_0,0.77,0.38,0.74,1.4,0.65,0.71,1.14,1.02,0.79,2.38,1.4,1.27,1.04,1.24,1.13,0.99
b_0,0.85,0.98,0.77,0.81,0.28,0.53,1.06,1.21,1.24,1.0,2.69,1.17,1.38,2.31,1.17,1.18
f_0,0.45,0.86,0.56,1.01,0.62,0.67,1.03,1.16,1.13,1.42,1.25,2.57,1.29,1.22,2.87,1.24
h_0,1.09,0.95,0.73,0.63,0.66,0.64,0.47,1.61,1.31,1.16,1.01,1.05,0.76,1.04,1.18,1.59
a_0,0.79,0.87,0.77,1.03,0.57,0.38,0.93,1.11,1.28,1.22,1.09,1.08,1.28,3.45,1.44,1.2
e_0,0.89,0.87,0.44,0.7,0.63,0.81,1.28,1.35,1.31,1.21,1.62,1.03,1.33,1.52,3.46,1.18
g_0,0.69,1.26,0.63,0.71,0.67,0.66,1.01,0.84,1.05,0.91,1.23,1.93,1.18,0.98,1.4,0.68
