,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.51,0.68,0.67,0.91,0.73,0.55,0.83,0.93,0.78,1.32,0.95,0.95,0.9,0.78,0.58,0.94
f_1,1.17,1.52,0.69,0.75,0.59,0.44,0.82,0.7,0.75,0.82,0.84,0.42,0.76,0.75,0.63,0.82
d_1,0.72,0.84,1.55,0.58,0.75,0.68,0.85,0.77,1.41,0.66,0.94,0.78,1.02,0.82,0.81,0.73
c_1,0.69,0.77,0.82,1.58,1.2,0.54,0.79,0.71,0.49,0.73,0.64,0.91,0.83,0.78,0.78,0.86
b_1,0.68,0.8,0.81,0.61,1.61,1.16,0.98,0.77,0.89,0.82,0.57,0.92,1.1,0.52,0.77,0.88
a_1,0.86,1.01,0.81,0.77,0.56,1.74,1.04,0.86,1.01,1.07,0.98,0.83,1.06,0.75,0.8,1.06
h_1,1.03,1.29,0.94,0.97,0.76,0.77,1.77,1.36,1.15,1.05,1.15,1.04,0.82,1.03,0.81,1.33
g_1,0.84,0.93,1.43,1.06,0.92,0.82,0.98,1.82,1.23,1.01,1.07,1.56,1.25,0.96,0.98,0.85
c_0,1.13,1.1,0.96,0.93,0.72,0.93,1.26,0.99,1.68,1.34,2.02,1.19,1.23,1.13,1.05,1.17
d_0,1.01,1.07,0.67,1.62,0.97,0.67,1.2,1.16,0.95,1.64,1.33,1.26,1.26,0.89,0.96,1.31
b_0,0.98,1.14,1.14,1.11,0.67,0.74,1.29,1.3,1.06,1.1,1.7,1.22,1.31,1.85,1.05,1.1
f_0,0.92,0.99,1.21,1.12,0.97,1.0,1.23,1.18,1.21,1.17,1.37,1.67,1.49,1.03,1.63,0.99
h_0,1.17,1.41,1.26,1.09,0.79,0.77,1.04,1.35,1.24,1.18,1.32,1.02,1.09,0.85,1.07,1.67
a_0,1.12,1.13,1.15,0.97,1.22,0.55,1.29,1.35,1.28,1.43,1.18,1.32,1.6,1.74,0.98,1.22
e_0,0.87,1.3,1.06,1.19,1.04,0.9,1.48,1.15,1.37,1.52,1.27,1.03,1.37,1.06,1.75,1.48
g_0,0.96,1.08,1.54,1.21,1.06,0.81,1.03,1.02,1.27,1.12,1.52,1.91,1.08,1.23,0.98,1.01
