,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,15.34,1.38,0.52,0.46,0.52,0.44,0.78,0.72,0.73,0.84,0.78,0.46,0.97,0.98,0.76,0.53
e_1,0.62,15.53,0.49,0.79,0.55,0.6,0.84,0.74,0.89,2.08,0.83,0.92,0.98,0.96,0.98,0.46
d_1,0.71,0.47,16.82,0.45,0.51,0.62,0.95,1.11,2.15,0.47,1.12,0.9,1.0,0.96,1.01,1.0
c_1,0.53,0.45,0.57,19.76,1.25,0.44,0.72,0.68,0.28,0.78,0.62,1.0,0.66,0.69,0.91,0.94
b_1,0.47,0.56,0.57,0.57,19.6,1.22,1.01,0.8,0.91,0.8,0.48,0.84,1.08,0.62,0.85,0.86
a_1,0.71,0.5,0.62,0.59,0.5,27.57,0.88,0.87,0.77,0.98,1.27,1.11,1.18,0.53,0.95,1.26
h_1,1.06,0.54,0.92,0.75,0.57,0.67,5.0,1.56,1.24,1.04,1.39,1.04,0.8,1.15,2.05,1.36
g_1,0.45,0.64,1.48,0.73,0.65,0.63,1.06,6.1,1.21,0.81,1.36,2.02,1.11,1.18,0.79,1.27
c_0,0.74,0.66,0.85,0.39,0.55,0.96,1.28,1.36,2.98,1.18,3.4,1.79,1.39,1.59,1.51,1.42
d_0,0.61,0.71,0.38,2.4,0.77,0.61,1.01,1.33,0.74,2.66,1.18,1.18,0.98,1.07,1.05,1.5
b_0,0.78,0.63,0.79,0.75,0.44,0.64,1.34,1.62,1.21,1.13,3.68,1.41,1.41,3.66,1.47,1.64
f_0,0.38,0.45,0.78,0.83,0.74,0.98,1.62,1.24,1.29,1.2,1.54,3.67,1.34,1.5,1.51,4.07
h_0,1.16,0.64,0.86,0.68,0.67,0.73,0.75,1.59,1.12,0.98,1.18,1.28,0.64,1.6,1.78,0.84
a_0,0.76,0.7,1.04,0.7,0.73,0.39,1.41,1.38,1.18,0.99,1.53,1.35,1.57,4.8,1.51,1.35
g_0,0.62,0.58,1.47,0.67,0.61,0.83,1.4,0.86,1.23,1.01,1.24,2.01,1.11,1.29,0.68,1.89
e_0,0.8,0.26,0.96,0.99,0.73,0.7,1.4,1.41,1.14,1.14,1.18,1.51,1.5,1.37,1.15,5.39
