,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.05,1.99,1.96,1.56,1.61,1.48,0.65,0.69,0.57,0.43,0.5,0.44,0.39,0.46,0.43,0.25
f_1,1.54,1.05,1.99,1.77,1.59,1.28,0.52,0.6,0.49,0.7,0.5,0.62,0.33,0.45,0.38,0.39
e_1,1.84,1.21,1.05,2.07,1.95,1.56,0.67,0.71,0.57,0.79,0.53,0.6,0.46,0.49,0.56,0.51
c_1,2.41,1.88,1.54,1.05,1.93,1.43,0.71,0.37,0.63,0.64,0.49,0.5,0.42,0.47,0.51,0.4
b_1,2.26,2.32,1.93,1.35,1.06,2.63,0.84,0.59,0.72,0.7,0.92,0.55,0.49,0.53,0.48,0.43
a_1,2.56,2.99,2.78,2.85,1.39,1.06,1.01,0.75,0.84,1.01,1.01,0.93,0.61,1.03,0.78,0.6
h_1,4.66,5.14,4.82,4.9,4.25,3.81,1.28,1.46,1.39,1.96,1.35,1.4,1.23,1.03,1.25,1.21
d_0,7.34,4.97,3.42,6.66,5.3,5.06,2.49,1.41,1.62,2.31,1.82,1.96,1.43,1.41,1.53,1.63
c_0,3.9,6.15,5.79,7.09,5.92,4.84,2.33,2.37,1.39,2.17,1.89,1.56,1.41,1.48,1.43,1.23
g_1,6.12,5.52,5.11,6.29,5.66,4.64,1.83,1.66,1.61,1.29,1.67,1.82,1.01,1.22,1.4,1.39
b_0,5.4,6.99,6.27,8.14,6.67,4.7,2.44,1.87,1.27,2.13,1.38,1.64,1.43,1.78,1.77,1.33
f_0,6.66,8.23,6.49,6.86,6.63,5.3,2.39,2.08,1.84,1.74,2.03,1.4,1.59,1.78,1.93,1.06
h_0,8.11,8.44,7.06,7.87,7.36,5.92,3.51,2.37,2.21,2.96,2.12,2.17,2.05,1.86,1.69,1.81
a_0,7.26,9.14,8.01,8.36,10.13,8.07,3.82,2.53,2.14,3.75,1.68,2.26,1.85,1.5,2.21,1.73
e_0,8.37,11.96,9.81,8.2,8.55,6.87,3.06,2.94,2.7,2.71,2.5,1.48,2.1,2.17,1.52,1.64
g_0,10.64,9.57,8.79,10.38,9.64,8.19,3.01,2.75,2.94,3.69,2.83,2.92,1.74,2.51,2.19,2.24
