,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.22,0.92,0.81,0.82,0.65,0.4,0.46,0.37,0.41,0.35,0.33,0.29,0.25,0.27,0.31
e_1,0.83,1.0,1.18,0.87,0.89,0.71,0.46,0.58,0.41,0.41,0.4,0.44,0.37,0.33,0.32,0.29
c_1,1.07,0.86,1.0,1.05,1.31,0.86,0.52,0.35,0.39,0.43,0.32,0.38,0.37,0.34,0.29,0.31
d_1,1.24,1.17,0.94,1.0,0.87,0.71,0.5,0.49,0.55,0.38,0.46,0.37,0.38,0.3,0.34,0.26
b_1,1.22,1.09,0.8,1.14,1.0,1.2,0.55,0.46,0.51,0.51,0.46,0.43,0.4,0.34,0.29,0.34
a_1,1.52,1.37,1.17,1.36,0.82,1.0,0.75,0.66,0.61,0.62,0.69,0.55,0.48,0.44,0.48,0.43
h_1,2.43,2.19,1.97,2.09,1.81,1.23,1.0,0.89,0.79,1.02,0.8,0.79,0.73,0.7,0.72,0.69
d_0,2.07,1.78,2.78,2.12,2.31,1.47,1.13,1.0,0.84,0.99,0.87,0.87,0.79,0.77,0.67,0.76
c_0,2.67,2.47,2.66,1.84,1.95,1.68,1.27,1.2,1.0,1.09,1.3,0.88,0.84,0.76,0.86,0.72
g_1,2.5,2.42,2.25,2.62,1.94,1.52,0.97,0.98,0.95,1.0,0.89,1.03,0.71,0.8,0.83,0.68
b_0,2.91,2.55,2.94,2.1,2.19,1.42,1.21,1.19,0.76,1.11,1.0,0.88,0.96,0.83,1.11,0.8
f_0,2.99,2.39,2.65,2.74,2.25,1.71,1.25,1.14,1.14,0.94,1.08,1.0,0.91,1.12,0.88,0.67
h_0,3.28,2.74,2.75,2.66,2.43,1.99,1.41,1.3,1.14,1.37,1.09,1.06,1.0,0.84,0.83,0.99
e_0,3.88,3.03,2.93,3.35,2.8,2.26,1.47,1.24,1.32,1.26,1.2,0.92,1.13,1.0,1.03,1.0
a_0,3.58,3.06,3.52,2.82,3.54,2.0,1.5,1.6,1.17,1.29,0.93,1.13,1.2,1.1,1.0,0.96
g_0,3.37,3.29,3.2,3.74,2.82,2.34,1.45,1.36,1.4,1.46,1.27,1.43,1.01,1.04,1.06,1.0
