,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.43,1.18,2.3,1.8,2.4,2.05,0.66,0.45,0.41,0.62,0.44,0.5,0.33,0.45,1.63,0.38
f_1,1.95,0.42,2.43,2.17,1.74,1.78,0.44,0.42,0.36,0.82,0.42,0.87,0.21,0.44,0.34,0.32
c_1,1.75,2.19,0.42,2.44,2.17,2.09,0.65,0.26,0.83,0.59,0.39,0.35,0.28,0.37,0.39,0.31
d_1,2.58,1.83,2.11,0.42,2.16,1.8,0.55,1.16,0.43,0.34,0.4,0.42,0.29,0.37,0.38,0.2
b_1,2.76,2.88,1.15,1.89,0.39,3.22,0.69,0.55,0.69,0.82,1.37,0.45,0.37,0.49,0.44,0.31
a_1,2.57,3.23,3.12,2.89,1.31,0.34,0.82,0.57,0.49,0.75,0.7,0.54,0.41,1.14,0.56,0.45
h_1,3.02,3.27,3.61,3.35,3.36,2.62,0.34,0.74,0.68,1.05,0.74,0.6,0.86,0.65,0.55,0.46
d_0,1.82,4.53,3.82,7.41,4.44,3.51,1.15,0.39,0.74,1.06,0.79,0.67,0.58,0.65,0.78,0.77
c_0,3.16,4.22,9.36,2.02,3.65,4.59,1.07,0.96,0.39,1.07,0.66,0.77,0.63,0.86,0.68,0.53
g_1,3.8,4.02,4.4,3.23,3.81,4.01,0.72,0.88,0.83,0.31,0.82,0.73,0.46,0.61,0.7,0.79
b_0,3.48,4.18,6.06,3.13,10.29,3.65,1.07,0.83,0.4,1.07,0.34,0.74,0.49,0.77,0.69,0.55
f_0,3.55,7.83,3.71,4.02,4.41,3.5,1.25,0.76,0.88,0.72,0.9,0.37,0.74,0.99,0.79,0.38
h_0,4.59,4.5,4.61,4.45,4.61,4.39,2.23,0.89,0.79,1.35,0.87,0.98,1.04,0.68,0.88,0.81
a_0,4.11,4.1,4.07,5.99,6.45,9.82,1.67,1.18,0.89,1.62,0.51,1.04,0.72,0.34,0.99,0.66
e_0,6.29,8.35,4.65,5.5,5.52,3.78,1.04,0.94,0.81,1.33,1.05,0.51,0.7,1.01,0.32,0.58
g_0,4.69,5.01,4.53,5.56,5.34,5.31,1.05,0.96,0.92,2.9,1.03,0.96,0.56,0.95,0.97,1.0
