,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,5.66,1.06,0.59,0.57,0.48,0.61,2.23,2.02,2.39,2.76,0.74,3.33,3.84,2.75,2.26,3.69
e_1,0.61,5.76,0.53,0.61,0.68,0.42,1.76,2.33,5.69,3.23,3.01,3.04,4.61,2.9,0.97,4.32
d_1,0.65,0.55,5.92,0.56,0.51,0.53,2.24,2.34,0.81,5.65,3.69,2.91,4.82,2.94,3.54,4.41
c_1,0.57,0.58,0.57,6.79,1.18,0.47,1.99,2.25,2.63,0.28,3.66,2.1,3.73,3.01,3.01,3.98
b_1,0.6,0.64,0.6,0.58,7.8,1.19,2.52,2.04,3.8,2.04,2.33,0.58,4.54,1.7,2.76,3.3
a_1,0.76,0.49,0.66,0.55,0.6,11.25,2.7,1.93,1.85,2.83,2.64,2.85,5.63,0.76,3.27,4.44
h_1,1.5,0.85,1.08,1.07,0.91,1.2,15.15,4.69,5.24,3.78,4.63,4.51,2.73,4.81,5.62,9.38
g_1,1.08,0.91,1.38,0.93,0.88,1.23,3.62,17.02,3.77,4.38,6.63,4.68,6.57,5.77,5.59,2.43
d_0,0.91,1.09,0.26,2.2,1.06,1.18,4.11,3.87,13.45,4.0,5.69,4.88,6.06,5.97,4.19,7.65
c_0,1.25,1.06,1.36,0.41,0.96,0.65,4.44,3.64,4.0,14.66,5.24,11.67,7.31,8.03,6.13,9.69
f_0,0.41,0.96,1.51,1.34,1.09,0.85,4.84,3.84,5.11,6.62,16.64,4.52,9.01,4.04,11.17,11.97
b_0,1.11,0.87,1.35,1.34,0.28,0.84,3.71,3.71,5.41,5.04,5.95,17.41,9.08,12.09,6.01,10.7
h_0,1.57,0.96,1.08,1.08,0.82,1.02,1.58,5.44,5.17,4.71,4.03,5.87,3.25,4.72,4.63,10.86
a_0,1.17,0.94,1.41,1.21,1.22,,3.11,2.93,4.41,4.36,5.46,4.56,7.92,22.13,7.0,11.2
e_0,1.24,0.37,1.01,1.24,1.14,1.37,4.72,3.73,6.79,5.83,5.86,5.89,9.57,5.25,21.91,5.88
g_0,0.74,1.02,1.75,1.07,1.0,0.96,4.01,2.1,3.28,5.37,6.93,6.33,5.63,4.56,6.09,
