,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,1.0,0.8,1.17,0.95,0.98,1.01,1.14,1.4,1.14,0.98,1.12,1.02,1.11,1.06,1.08,1.11
f_1,1.25,1.0,1.01,0.88,1.01,1.0,0.85,0.92,0.89,0.97,0.73,0.87,0.77,0.84,1.0,0.83
c_1,0.85,0.99,1.0,1.14,1.39,0.93,0.92,0.7,0.92,0.78,0.97,0.87,1.16,0.98,1.14,0.94
d_1,1.05,1.14,0.88,1.0,0.97,0.82,0.98,1.13,0.86,1.3,0.96,1.16,1.08,0.95,0.89,0.95
b_1,1.02,0.98,0.72,1.03,1.0,1.44,1.07,0.92,1.15,0.96,1.14,1.03,1.05,1.0,0.87,0.91
a_1,1.0,1.0,1.07,1.23,0.69,1.0,1.05,1.07,1.04,1.09,1.19,1.41,1.06,1.01,1.17,1.54
h_1,0.91,1.21,1.08,0.99,0.92,0.98,1.0,0.92,1.16,0.86,0.87,0.88,0.85,0.95,1.11,0.91
d_0,0.72,1.06,1.49,0.86,1.11,0.86,1.05,1.0,1.0,0.83,0.92,0.87,1.08,1.01,1.01,1.04
g_1,0.92,1.06,1.06,1.16,0.89,0.91,0.88,0.99,1.0,0.91,1.14,0.9,0.87,1.12,0.92,0.86
c_0,1.05,1.02,1.22,0.77,0.98,0.91,1.14,1.27,1.11,1.0,1.04,1.36,0.98,1.17,1.04,0.99
f_0,0.92,1.29,1.05,1.03,0.98,0.84,1.1,1.0,0.85,0.93,1.0,1.02,1.08,1.0,0.84,1.58
b_0,1.04,1.14,1.1,0.85,1.04,0.73,1.12,1.13,1.12,0.71,0.95,1.0,1.0,1.39,0.94,1.01
h_0,0.93,1.26,0.84,0.96,0.96,0.92,1.18,0.94,1.14,1.02,0.88,0.99,1.0,1.01,1.2,0.9
a_0,1.0,1.11,1.08,1.01,1.04,0.93,1.03,0.97,0.86,0.89,0.95,0.74,0.97,1.0,1.02,0.95
g_0,0.98,0.97,0.89,1.14,1.07,0.9,0.94,0.99,1.08,0.98,1.19,1.01,0.81,1.0,1.0,1.01
e_0,0.92,1.15,1.06,1.04,1.09,0.72,1.06,0.93,1.21,1.05,0.63,0.98,1.06,1.01,0.96,1.01
