,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,5.98,1.47,1.6,1.16,1.55,1.43,5.69,5.78,13.63,4.27,9.78,8.65,12.32,12.94,7.95,7.27
e_1,1.26,5.98,1.59,1.86,1.52,1.65,5.84,5.49,7.8,13.16,8.28,8.31,10.1,10.81,7.31,4.05
f_1,1.51,2.73,6.18,1.54,1.21,1.38,5.76,4.58,5.55,6.74,6.97,3.97,9.42,8.54,6.53,6.03
c_1,1.37,1.27,1.56,6.71,2.92,1.33,5.61,5.46,2.82,6.71,3.76,5.85,11.25,10.91,7.44,8.92
b_1,1.56,1.49,1.65,1.49,7.55,3.13,4.54,5.07,5.49,6.41,3.52,6.96,10.73,10.54,4.56,7.33
a_1,1.71,1.63,1.55,1.57,1.48,10.93,5.18,5.28,7.59,6.67,7.23,8.58,11.54,8.95,4.7,7.22
h_1,2.08,1.33,2.45,1.6,1.97,1.73,16.87,10.08,9.36,8.04,7.93,8.99,8.06,17.1,9.8,10.95
g_1,3.34,1.42,1.84,1.61,1.74,1.79,5.79,20.11,7.2,5.25,7.74,12.07,11.24,8.16,10.21,10.42
c_0,2.17,1.93,2.23,1.24,1.3,1.63,7.22,7.57,16.39,8.84,18.14,10.09,15.1,14.08,12.08,9.64
d_0,1.1,1.68,2.13,3.77,1.75,1.6,7.6,6.28,5.99,16.17,7.6,9.44,13.42,14.59,9.4,9.89
b_0,2.08,1.92,2.22,2.09,1.04,1.18,7.39,6.9,8.7,10.51,18.42,8.27,15.51,13.25,22.76,9.43
f_0,2.38,1.79,1.3,2.28,1.73,1.65,7.3,7.1,8.72,9.22,9.41,20.45,15.31,13.43,9.12,19.26
h_0,2.0,1.86,2.89,2.06,1.6,1.36,4.42,9.14,7.88,8.58,8.96,7.44,8.34,18.93,7.94,10.65
g_0,2.75,1.76,1.83,1.74,1.56,1.97,6.26,4.52,9.38,8.31,8.09,16.09,12.27,8.84,9.66,10.44
a_0,2.03,1.64,2.1,2.4,2.08,0.63,6.23,7.93,7.55,7.66,8.38,10.06,16.95,15.04,26.97,9.94
e_0,2.36,0.99,2.27,1.85,1.94,1.78,7.58,7.22,8.69,8.3,9.9,9.63,15.57,13.34,9.74,27.38
