,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.2,0.85,0.99,0.76,0.73,0.41,0.35,0.42,0.42,0.36,0.31,0.29,0.31,0.34,0.26
e_1,0.86,1.0,0.95,1.21,0.91,0.67,0.52,0.43,0.47,0.57,0.39,0.47,0.34,0.33,0.32,0.3
d_1,1.13,1.04,1.0,0.87,0.88,0.61,0.5,0.56,0.37,0.42,0.42,0.38,0.36,0.31,0.28,0.32
c_1,1.06,0.82,1.12,1.0,1.22,0.77,0.54,0.42,0.42,0.33,0.36,0.4,0.35,0.31,0.33,0.31
b_1,1.33,1.13,1.13,0.83,1.0,1.1,0.63,0.58,0.52,0.46,0.48,0.46,0.42,0.35,0.37,0.34
a_1,1.4,1.47,1.6,1.34,0.93,1.0,0.73,0.65,0.69,0.63,0.62,0.57,0.56,0.6,0.53,0.45
h_1,2.38,1.93,2.05,1.8,1.55,1.32,1.0,0.8,0.98,0.86,0.84,0.69,0.73,0.63,0.73,0.62
c_0,2.69,2.34,1.81,2.39,1.69,1.58,1.24,1.0,0.98,1.14,1.2,0.91,0.87,0.87,0.78,0.74
g_1,2.32,2.1,2.76,2.54,1.87,1.46,1.02,0.96,1.0,0.88,0.88,1.0,0.65,0.83,0.66,0.77
d_0,2.31,1.71,2.39,2.95,2.26,1.57,1.24,0.85,1.15,1.0,0.89,0.92,0.83,0.8,0.79,0.76
b_0,2.61,2.63,2.34,2.77,2.12,1.57,1.24,0.84,1.08,1.07,1.0,0.94,0.89,1.22,0.84,0.74
f_0,3.02,2.14,2.74,2.44,2.12,1.7,1.49,1.11,0.98,1.02,1.0,1.0,0.85,0.98,0.7,1.11
h_0,3.34,2.92,2.92,2.78,2.31,1.79,1.45,1.14,1.55,1.19,1.08,1.08,1.0,0.92,1.03,0.8
a_0,3.28,3.02,2.99,3.27,2.75,1.83,1.73,1.22,1.15,1.28,0.85,1.08,1.13,1.0,0.9,0.96
g_0,2.93,2.94,3.56,3.03,2.76,1.88,1.37,1.31,1.48,1.25,1.18,1.47,0.98,1.04,1.0,1.04
e_0,3.89,3.42,3.19,3.14,2.85,2.22,1.69,1.32,1.2,1.22,1.21,0.92,1.21,1.11,0.97,1.0
