,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.01,0.04,0.03,0.04,0.05,0.06,0.06,0.07,0.12,0.08,0.12,0.17,0.1,0.13,0.14,0.18
e_1,0.02,0.01,0.03,0.04,0.04,0.07,0.08,0.08,0.11,0.09,0.08,0.13,0.12,0.39,0.16,0.16
d_1,0.02,0.03,0.01,0.03,0.03,0.04,0.05,0.15,0.05,0.07,0.08,0.07,0.09,0.11,0.1,0.07
c_1,0.02,0.02,0.03,0.01,0.03,0.04,0.05,0.03,0.05,0.1,0.07,0.08,0.08,0.1,0.09,0.09
b_1,0.01,0.01,0.01,0.01,,0.03,0.03,0.03,0.03,0.03,0.12,0.03,0.04,0.04,0.05,0.04
a_1,0.01,,,0.01,,,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.03,0.05,0.03
h_1,,,,,,,,,,,,,,,,
d_0,,,,,,,,,,,,,,,,
g_1,,,,,,,,,,,,,,,,
c_0,,,,,,,,,,,,,,,,
b_0,,,,,,,,,,,,,,,,
f_0,,,,,,,,,,,,,,,,
h_0,,,,,,,,,,,,,,,,
e_0,,,,,,,,,,,,,,,,
a_0,,,,,,,,,,,,,,,,
g_0,,,,,,,,,,,,,,,,
