,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.61,0.08,0.08,0.07,0.07,0.06,0.27,0.21,0.73,0.42,0.36,0.24,0.55,0.45,,0.52
f_1,0.13,5.69,0.08,0.09,0.09,0.09,0.28,0.33,0.37,0.31,0.35,,0.58,0.3,0.33,0.47
d_1,0.06,0.09,6.16,0.07,0.07,0.07,0.27,0.32,,0.78,0.42,0.36,0.61,0.27,0.39,0.53
c_1,0.08,0.08,0.07,6.64,0.15,0.06,0.29,0.31,0.36,,0.28,0.28,0.56,0.49,0.48,0.45
b_1,0.09,0.09,0.08,0.09,7.45,0.14,0.25,0.25,0.43,0.34,,0.41,0.57,0.23,0.25,0.56
a_1,0.09,0.08,0.06,0.06,,11.86,0.41,0.29,0.33,0.4,0.4,0.4,0.66,,,0.49
h_1,0.29,0.38,0.26,0.27,0.36,0.21,15.71,1.32,1.44,1.56,1.35,1.49,,0.97,1.15,2.89
g_1,0.23,0.27,0.4,0.31,0.26,0.25,0.97,16.76,1.06,1.37,1.85,2.27,1.99,,1.92,
d_0,0.42,0.33,,0.69,0.41,0.29,1.94,1.49,11.94,1.21,1.42,1.58,3.56,2.3,1.44,2.66
c_0,0.41,0.35,0.3,,0.28,0.36,1.61,1.76,1.71,12.57,3.93,1.8,2.54,1.42,1.74,2.5
b_0,0.47,0.4,0.39,0.29,,0.42,1.51,1.1,2.08,1.57,13.44,1.74,3.0,3.75,1.51,3.19
f_0,0.22,,0.42,0.41,0.39,0.33,1.15,1.41,1.58,1.8,1.89,15.08,4.24,1.78,4.46,2.6
h_0,0.53,0.65,0.59,0.44,0.57,0.66,,2.21,2.57,2.85,2.54,3.56,,3.27,2.47,7.5
a_0,0.31,0.42,0.34,0.44,0.33,,2.17,1.52,1.65,1.59,2.27,1.57,2.64,19.96,,
e_0,,0.43,0.41,0.4,0.34,,0.98,1.22,2.69,1.74,2.15,1.71,2.61,,21.97,4.08
g_0,0.42,0.47,0.95,0.57,0.48,0.65,2.42,,2.15,2.71,1.84,5.6,4.38,2.21,2.6,
