,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,3.6,0.7,0.35,0.41,0.37,0.27,0.67,0.83,0.75,0.76,0.89,0.15,0.89,0.85,0.75,0.74
e_1,0.45,3.82,0.35,0.36,0.43,0.45,0.7,1.4,0.71,0.6,0.99,0.74,1.05,0.7,0.28,0.91
d_1,0.43,0.42,4.42,0.32,0.41,0.3,0.61,0.22,1.58,0.67,0.85,1.07,0.95,0.99,0.77,0.99
c_1,0.39,0.37,0.43,4.42,0.73,0.35,0.62,0.7,0.14,0.78,0.66,0.78,0.79,0.9,0.91,0.83
b_1,0.35,0.4,0.3,0.43,4.69,0.69,0.93,0.88,0.68,0.68,0.23,0.95,0.97,0.48,0.69,0.95
a_1,0.38,0.41,0.52,0.4,0.31,6.99,0.76,0.83,0.73,0.81,0.63,0.96,0.92,,1.1,0.78
h_1,0.97,0.48,0.64,0.8,0.56,0.74,5.2,1.12,1.4,1.58,1.15,1.32,0.45,1.89,1.52,2.09
d_0,0.76,0.6,0.26,1.34,0.66,0.66,1.63,3.73,1.25,1.3,1.52,1.35,1.66,1.54,1.39,1.22
c_0,0.87,0.74,0.65,0.33,0.52,0.75,1.41,1.18,4.06,1.37,2.99,1.84,1.5,1.94,1.78,1.65
g_1,0.54,0.65,1.29,0.69,0.56,0.5,1.03,1.16,1.19,6.7,1.33,2.42,1.33,1.0,1.36,0.43
b_0,0.9,0.56,1.0,0.88,0.15,0.65,1.53,1.59,1.56,1.29,4.16,1.09,1.51,2.95,1.55,1.32
f_0,0.31,0.48,0.9,0.76,0.76,0.65,1.85,1.47,2.06,1.61,1.41,5.32,1.51,1.58,3.22,1.96
h_0,1.11,0.55,0.78,0.65,0.64,0.81,0.32,1.29,1.25,1.62,1.38,1.41,0.41,0.97,1.47,1.78
a_0,0.79,0.69,0.83,0.91,0.6,,1.72,1.56,1.81,1.37,1.77,1.25,1.66,5.96,1.38,0.97
e_0,0.76,0.28,0.85,0.8,0.74,0.83,2.18,1.68,1.72,1.35,1.66,1.16,1.32,1.54,6.64,2.27
g_0,0.65,0.4,1.19,0.67,0.49,0.88,1.49,0.98,1.63,0.64,1.98,2.34,1.43,1.25,1.71,0.86
