,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.35,1.16,1.39,0.9,0.93,0.72,1.82,3.67,1.71,1.75,2.18,2.09,2.59,1.96,1.35,2.38
f_1,1.79,2.42,1.1,0.9,0.87,0.76,1.73,2.44,1.54,1.91,2.03,1.43,2.55,1.61,1.35,2.09
c_1,0.99,1.02,2.41,1.04,1.73,0.8,1.64,2.19,1.51,1.44,1.46,2.09,2.71,1.6,1.7,2.28
d_1,1.0,1.12,0.85,2.49,0.99,0.89,2.11,1.61,1.97,3.74,2.35,2.23,2.94,1.93,1.88,2.6
b_1,1.01,1.08,1.02,1.0,2.62,1.69,1.64,1.99,1.63,1.93,1.5,1.86,2.65,1.53,1.89,2.11
a_1,1.11,1.13,1.11,1.1,0.91,3.05,1.68,1.94,1.91,2.25,2.5,2.12,3.15,1.76,1.93,2.5
h_1,1.16,1.48,1.09,1.22,0.89,0.74,3.68,2.1,2.46,2.4,2.1,2.16,2.39,2.13,1.68,3.12
d_0,1.09,1.2,1.86,0.75,1.15,0.89,2.12,3.23,1.52,1.57,2.14,1.99,2.73,2.09,1.9,2.4
g_1,1.01,1.11,1.06,1.54,1.01,0.88,2.04,2.01,3.84,2.58,2.27,3.34,3.03,1.71,2.33,2.33
c_0,1.22,1.33,1.04,1.19,0.83,0.86,2.14,2.49,2.13,3.46,3.96,2.3,3.26,2.54,2.34,2.59
b_0,1.18,1.21,1.37,1.23,0.73,0.68,2.1,2.72,1.77,2.47,3.58,2.2,3.0,3.99,2.3,2.8
f_0,0.9,1.07,1.23,1.19,1.14,1.05,2.27,2.51,1.99,2.26,2.65,3.6,3.26,1.89,4.16,3.03
h_0,1.27,1.53,1.11,1.28,0.99,0.83,1.63,2.07,2.33,2.09,2.05,2.17,2.24,1.85,1.85,3.08
a_0,1.15,1.3,1.27,1.13,0.95,0.82,2.12,2.58,1.56,2.65,2.34,2.27,3.16,3.54,1.99,2.63
e_0,0.96,1.3,1.23,1.19,1.02,1.14,2.08,1.9,1.79,2.15,2.07,2.25,3.08,1.99,3.81,3.12
g_0,1.03,1.0,1.04,1.74,1.08,0.81,1.81,1.91,1.67,2.39,2.39,3.1,2.97,2.16,2.46,2.03
