,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,1.0,1.41,1.12,0.91,0.86,1.0,0.81,1.1,1.09,0.99,,1.1,0.84,0.88,0.8,1.02
e_1,0.71,1.0,1.07,0.97,0.97,0.88,1.02,1.0,1.47,0.95,1.19,1.0,1.09,0.88,,0.88
d_1,0.9,0.94,1.0,1.08,0.95,1.0,1.1,0.93,,1.44,1.15,0.84,1.0,0.98,1.0,0.75
c_1,1.1,1.03,0.92,1.0,1.44,1.0,0.98,1.02,0.7,,1.2,0.96,1.06,0.98,0.85,1.0
b_1,1.16,1.03,1.05,0.69,1.0,1.37,1.06,0.94,1.15,0.93,0.86,,1.18,0.89,0.94,
a_1,1.0,1.13,1.0,1.0,0.73,1.0,1.24,0.8,0.64,1.0,1.11,1.12,1.3,,,1.07
h_1,1.23,0.98,0.91,1.02,0.94,0.81,1.0,1.18,1.02,0.95,1.0,0.94,,1.0,0.91,0.96
g_1,0.91,1.0,1.08,0.98,1.07,1.25,0.85,1.0,0.78,1.14,1.14,0.98,0.79,1.26,1.21,
d_0,0.92,0.68,,1.44,0.87,1.57,0.99,1.28,1.0,1.07,1.26,0.89,0.84,1.0,0.81,1.26
c_0,1.01,1.05,0.7,,1.07,1.0,1.05,0.88,0.94,1.0,0.87,1.69,0.87,1.32,1.11,0.85
f_0,,0.84,0.87,0.84,1.16,0.9,1.0,0.88,0.79,1.15,1.0,1.0,1.22,1.0,1.5,1.13
b_0,0.91,1.0,1.2,1.04,,0.89,1.06,1.02,1.12,0.59,1.0,1.0,1.1,,0.86,1.02
h_0,1.19,0.92,1.0,0.94,0.85,0.77,,1.27,1.19,1.15,0.82,0.91,,0.69,0.75,1.47
a_0,1.14,1.14,1.02,1.02,1.12,,1.0,0.79,1.0,0.76,1.0,,1.45,1.0,1.09,
e_0,1.25,,1.0,1.17,1.07,,1.1,0.83,1.24,0.9,0.67,1.17,1.34,0.92,1.0,
g_0,0.98,1.13,1.33,1.0,,0.94,1.04,,0.79,1.18,0.89,0.98,0.68,,,
