,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.0,0.72,1.08,1.19,1.04,0.93,1.13,1.12,1.5,1.05,1.16,1.08,1.05,1.15,1.12,1.13
f_1,1.38,1.0,0.87,0.96,0.89,0.84,0.86,0.95,0.96,0.8,0.99,0.92,0.86,0.93,0.66,1.04
d_1,0.92,1.14,1.0,0.94,1.03,1.06,0.95,0.77,0.99,1.41,0.85,1.0,0.99,0.86,1.09,0.77
c_1,0.85,1.05,1.08,1.0,1.38,0.87,1.14,0.98,0.7,0.81,0.91,0.86,0.98,1.0,0.91,0.98
b_1,0.96,1.12,0.98,0.72,1.0,1.45,1.05,1.23,0.94,1.14,1.06,0.95,1.01,0.91,1.08,0.96
a_1,1.07,1.2,0.94,1.15,0.69,1.0,0.95,1.0,1.06,0.95,1.06,1.2,1.4,1.47,0.89,1.2
h_1,0.9,1.16,1.07,0.87,0.91,1.03,1.0,1.27,0.93,0.93,0.98,0.9,0.95,1.0,1.02,1.02
g_1,0.88,0.98,1.31,1.02,0.84,1.02,0.8,1.0,0.86,0.91,1.22,1.11,0.89,0.99,1.0,0.95
d_0,0.65,1.04,1.0,1.52,1.05,1.01,1.09,1.23,1.0,0.83,1.05,1.06,0.99,0.94,1.07,1.17
c_0,0.97,1.18,0.72,1.13,0.89,1.04,1.04,1.13,1.2,1.0,1.04,1.68,1.09,1.09,1.22,1.18
f_0,0.86,0.98,1.17,1.06,0.92,0.88,1.04,0.81,0.97,0.98,1.0,1.0,1.1,1.02,1.61,0.82
b_0,0.98,1.07,0.94,1.2,0.94,0.79,1.04,0.94,0.97,0.61,1.14,1.0,0.98,1.51,1.14,1.23
h_0,0.96,1.18,1.04,1.04,0.98,0.74,1.07,1.11,0.99,0.91,0.84,1.02,1.0,0.86,0.99,1.13
a_0,0.92,1.04,1.09,1.07,1.09,0.72,1.06,0.98,1.03,0.95,1.11,0.7,1.18,1.0,1.18,1.11
e_0,0.92,1.44,0.93,1.18,0.98,1.09,1.04,0.97,0.91,0.85,0.63,0.91,0.89,0.84,1.0,1.01
g_0,0.88,0.96,1.26,1.04,1.1,0.89,0.97,1.07,0.9,0.85,1.18,0.83,0.85,0.88,0.98,1.0
