,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.51,0.69,0.6,0.75,0.57,0.52,0.77,0.8,1.35,0.88,0.87,0.87,0.7,0.96,0.81,0.69
f_1,1.0,1.51,0.72,0.68,0.52,0.57,0.8,0.76,0.77,0.66,0.81,0.45,0.7,0.65,0.86,0.44
d_1,0.72,0.77,1.54,0.6,0.65,0.56,0.86,0.71,0.45,1.29,0.94,0.76,0.72,0.89,0.68,0.58
c_1,0.69,0.76,0.69,1.55,1.05,0.39,0.76,0.67,0.67,0.43,0.58,0.74,0.66,0.93,0.79,0.67
b_1,0.76,0.81,0.74,0.58,1.62,0.91,0.74,0.7,0.74,0.71,0.45,0.88,0.65,0.87,0.69,0.61
a_1,0.69,0.72,0.8,0.97,0.56,1.78,1.07,0.83,0.92,0.91,0.86,0.79,0.47,1.07,0.85,0.96
h_1,0.96,1.09,0.85,0.91,0.86,0.5,1.72,1.19,1.1,1.1,1.08,0.95,0.88,1.0,1.27,0.92
g_1,0.85,0.71,1.24,1.05,0.84,0.79,0.95,1.75,0.94,1.07,0.92,1.46,0.85,0.95,0.76,0.92
d_0,0.82,0.98,0.8,1.48,0.86,0.7,1.0,1.11,1.59,0.84,1.04,1.14,0.83,1.21,0.99,0.96
c_0,0.91,1.17,0.92,0.84,0.74,0.8,1.02,1.07,1.15,1.61,1.7,1.2,1.14,1.26,1.06,0.91
b_0,0.88,1.09,0.92,1.1,0.59,0.81,1.09,1.23,1.16,0.91,1.67,1.19,1.65,1.38,1.34,0.94
f_0,0.75,0.81,1.17,1.07,0.84,0.78,1.33,1.13,1.2,1.13,1.15,1.66,1.17,1.41,0.98,1.69
a_0,0.95,1.05,1.22,0.97,0.84,0.51,1.19,1.21,1.21,1.01,1.13,1.2,1.72,1.02,1.28,1.23
h_0,0.85,1.42,1.07,0.97,0.89,0.73,0.75,1.3,1.05,1.1,0.99,0.94,1.17,0.87,1.43,0.89
g_0,0.95,0.9,1.44,0.89,1.06,0.75,0.99,1.06,1.3,1.3,1.03,1.71,1.09,1.28,0.95,1.01
e_0,0.6,1.43,1.13,1.17,1.08,0.78,1.21,1.15,1.25,1.13,1.12,1.05,0.89,1.3,1.09,1.73
