,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.42,3.36,3.59,3.21,3.78,2.85,1.66,1.58,1.6,1.51,1.92,,1.37,1.92,1.2,1.94
d_1,4.01,0.41,3.53,3.88,2.79,3.65,2.19,1.45,1.81,,1.41,1.82,1.1,1.48,1.08,1.64
e_1,2.72,4.21,0.41,3.16,4.19,3.1,1.9,2.05,1.59,1.94,1.47,1.57,1.31,1.29,1.59,
c_1,3.54,4.01,4.49,0.38,3.22,5.31,1.62,1.99,,0.98,1.67,1.62,1.24,1.67,1.44,1.47
b_1,3.12,4.34,3.87,2.51,0.37,4.77,1.86,1.82,1.86,1.68,,1.42,1.44,1.4,1.2,1.56
a_1,4.57,4.22,3.9,3.0,2.31,0.32,2.29,1.88,1.53,1.48,,,1.24,,1.18,
h_1,1.63,1.62,1.71,2.05,1.7,1.45,0.27,1.03,0.88,0.94,0.79,0.76,,0.69,0.87,0.85
g_1,2.67,1.92,1.97,1.99,2.0,1.78,0.84,0.24,0.74,0.6,0.96,0.72,0.57,1.05,,
c_0,1.43,1.04,1.69,,1.86,1.67,0.73,0.82,0.29,0.89,0.9,0.82,0.51,,0.64,0.58
d_0,1.4,,1.02,1.48,1.68,1.91,0.82,1.24,0.67,0.28,0.73,0.64,0.62,0.78,0.49,0.98
b_0,1.59,1.71,1.9,2.19,,,0.79,0.79,0.42,0.57,0.26,0.75,0.69,1.12,0.66,0.69
f_0,,1.19,1.83,1.62,1.65,,0.91,0.65,0.62,0.82,0.59,0.26,0.72,0.74,0.46,0.79
h_0,1.29,1.48,1.18,1.36,1.29,1.19,,0.7,0.57,0.6,0.46,0.54,,0.51,0.58,0.51
a_0,1.56,1.7,1.97,1.67,2.11,,1.17,0.67,,0.83,0.4,0.8,0.55,0.21,0.52,
g_0,1.74,1.26,1.19,1.24,1.81,1.36,0.5,,0.54,0.71,0.57,0.61,0.38,0.55,,0.58
e_0,1.55,1.64,,1.75,1.4,,0.76,,0.98,0.59,0.65,0.47,0.63,,0.5,0.21
