,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.5,0.36,0.41,0.53,0.45,0.29,0.6,0.9,0.5,0.59,0.53,0.62,0.58,0.51,0.37,0.52
d_1,0.51,1.52,0.51,0.39,0.42,0.36,0.53,0.32,0.45,0.87,0.49,0.64,0.52,0.46,0.5,0.57
f_1,0.7,0.47,1.52,0.46,0.42,0.35,0.48,0.57,0.46,0.51,0.6,0.21,0.6,0.53,0.38,0.5
c_1,0.43,0.51,0.47,1.55,0.78,0.35,0.56,0.53,0.45,0.18,0.45,0.47,0.5,0.44,0.45,0.69
b_1,0.45,0.53,0.53,0.35,1.6,0.7,0.56,0.6,0.59,0.57,0.27,0.55,0.66,0.34,0.5,0.5
a_1,0.66,0.53,0.54,0.59,0.35,1.76,0.53,0.47,0.55,0.64,0.58,0.48,0.63,0.22,0.47,0.56
h_1,0.67,0.82,0.94,0.7,0.65,0.6,1.66,0.76,0.9,0.76,0.87,0.69,0.44,0.71,0.72,0.83
d_0,0.71,0.43,0.8,1.25,0.56,0.7,1.04,1.47,0.84,0.76,0.94,0.72,1.02,0.75,0.59,0.83
g_1,0.66,1.08,0.67,0.82,0.62,0.6,0.76,0.78,1.75,0.82,0.81,1.11,0.63,0.68,0.61,0.47
c_0,0.73,0.76,0.99,0.47,0.66,0.54,0.99,0.99,0.82,1.53,1.49,0.94,1.18,0.81,0.7,0.89
b_0,0.91,0.94,0.79,0.95,0.43,0.46,0.98,0.95,0.8,0.8,1.56,0.81,1.16,1.25,0.65,0.77
f_0,0.75,0.82,0.46,0.82,0.7,0.68,1.0,0.97,0.9,1.08,1.02,1.62,0.92,0.94,1.45,0.83
h_0,0.78,0.96,0.93,0.98,0.56,0.68,0.58,0.97,1.13,0.68,0.74,0.82,0.68,0.81,0.74,1.19
a_0,0.83,0.94,0.86,0.86,0.82,,0.95,1.03,1.18,0.94,0.86,0.92,1.28,1.61,0.87,0.81
e_0,0.43,0.92,0.97,0.82,0.66,0.67,1.18,1.42,1.15,1.08,1.22,0.75,1.32,0.97,1.72,1.25
g_0,0.67,1.09,0.92,0.69,0.77,0.69,1.0,0.98,0.65,1.08,1.04,1.15,1.09,0.74,0.79,0.6
