,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,0.41,0.92,0.83,0.83,0.8,0.72,0.39,0.29,0.39,0.54,0.38,0.33,0.32,0.24,0.34,0.3
e_1,0.78,0.41,0.53,0.97,0.83,0.77,0.59,0.55,0.38,0.48,0.42,0.39,0.33,0.33,0.4,0.58
f_1,0.79,0.91,0.4,0.8,0.72,0.78,0.36,0.42,0.31,0.33,0.35,0.49,0.23,0.3,0.33,0.34
c_1,0.97,0.67,0.8,0.39,0.95,0.77,0.49,0.49,0.5,0.23,0.29,0.31,0.3,0.35,0.32,0.4
b_1,0.81,0.81,0.98,0.5,0.36,0.99,0.39,0.43,0.46,0.41,0.55,0.42,0.33,0.35,0.32,0.34
a_1,0.89,0.78,0.87,0.92,0.47,0.3,0.5,0.45,0.4,0.41,0.51,0.45,0.4,0.29,0.97,0.39
h_1,0.7,0.62,0.76,0.71,0.81,0.7,0.24,0.47,0.33,0.3,0.31,0.33,0.34,0.32,0.35,0.32
g_1,0.81,0.69,0.77,0.69,0.74,0.69,0.29,0.22,0.31,0.32,0.31,0.34,0.21,0.34,0.33,0.32
c_0,0.47,0.68,0.87,1.25,0.76,0.66,0.37,0.46,0.25,0.42,0.39,0.32,0.32,0.27,0.38,0.34
d_0,0.83,0.45,0.77,0.9,0.77,0.71,0.42,0.57,0.31,0.25,0.3,0.32,0.28,0.29,0.38,0.36
b_0,0.59,0.65,0.72,1.2,0.91,0.63,0.4,0.42,0.19,0.37,0.23,0.31,0.27,0.27,0.48,0.3
f_0,0.67,0.65,0.85,0.89,0.74,0.63,0.39,0.32,0.34,0.36,0.36,0.22,0.33,0.19,0.32,0.38
h_0,0.66,0.75,0.86,0.67,0.7,0.59,0.49,0.45,0.29,0.32,0.31,0.29,0.35,0.31,0.27,0.31
g_0,0.68,0.71,0.82,0.71,0.69,0.8,0.29,0.5,0.32,0.31,0.31,0.38,0.2,0.34,0.32,0.33
a_0,0.69,0.69,0.78,0.74,1.05,0.72,0.37,0.35,0.27,0.32,0.18,0.31,0.34,0.26,0.19,0.32
e_0,0.79,0.78,0.87,0.61,0.72,0.7,0.36,0.33,0.32,0.32,0.33,0.2,0.27,0.25,0.35,0.19
