,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,0.92,1.38,1.26,1.52,2.83,19.81,26.55,24.61,30.05,34.96,36.92,55.08,64.67,64.34,107.56
d_1,1.1,1.0,1.15,1.18,1.38,3.22,22.41,23.18,33.94,27.98,38.83,39.04,59.95,70.19,77.03,82.2
e_1,0.73,0.87,1.0,1.26,1.42,2.79,21.02,27.07,25.36,35.16,33.02,40.79,62.17,56.75,70.61,101.73
c_1,0.8,0.84,0.77,1.0,1.65,2.67,17.62,21.49,19.38,17.75,24.15,30.24,56.06,49.77,58.82,87.21
b_1,0.66,0.73,0.71,0.61,1.0,3.05,16.15,18.07,20.59,18.25,25.93,27.24,44.76,41.67,51.03,82.55
a_1,0.35,0.3,0.37,0.38,0.34,1.0,7.82,8.77,9.49,8.95,12.92,12.78,21.76,21.49,23.66,33.95
h_1,0.05,0.04,0.05,0.06,0.06,0.12,1.0,1.39,1.23,1.2,1.6,1.71,3.17,3.12,3.32,5.5
g_1,0.04,0.04,0.04,0.05,0.05,0.11,0.73,1.0,1.03,0.95,1.29,1.7,1.96,2.31,2.89,4.04
c_0,0.04,0.03,0.04,0.05,0.05,0.1,0.83,0.99,1.0,1.15,1.6,1.4,2.36,2.51,2.53,3.62
d_0,0.03,0.04,0.03,0.06,0.05,0.11,0.84,1.02,0.85,1.0,1.32,1.45,2.28,2.27,2.65,4.05
b_0,0.03,0.03,0.03,0.04,0.04,0.07,0.63,0.76,0.6,0.78,1.0,1.04,1.81,2.45,1.97,2.77
f_0,0.03,0.03,0.02,0.03,0.04,0.08,0.58,0.56,0.73,0.72,0.96,1.0,1.76,1.71,2.68,2.21
h_0,0.02,0.02,0.02,0.02,0.02,0.05,0.33,0.49,0.41,0.41,0.55,0.55,1.0,0.97,1.08,1.8
a_0,0.02,0.01,0.02,0.02,0.02,0.05,0.31,0.42,0.38,0.42,0.42,0.55,1.03,1.0,1.18,1.57
e_0,0.02,0.01,0.01,0.02,0.02,0.04,0.31,0.35,0.39,0.37,0.52,0.38,0.94,0.89,1.0,1.23
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.19,0.24,0.26,0.24,0.35,0.45,0.56,0.68,0.81,1.0
