,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.42,0.75,0.7,0.64,0.57,0.55,0.28,0.39,0.32,0.31,0.3,0.32,0.21,0.3,0.26,0.28
e_1,0.44,0.41,0.77,0.65,0.84,0.69,0.38,0.4,0.41,0.3,0.31,0.42,0.29,0.31,0.28,0.46
c_1,0.66,0.56,0.4,0.8,0.7,0.66,0.4,0.37,0.2,0.32,0.29,0.31,0.24,0.27,0.28,0.32
d_1,0.7,0.71,0.69,0.38,0.66,0.66,0.33,0.25,0.36,0.32,0.27,0.28,0.23,0.29,0.18,0.28
b_1,0.89,0.61,0.44,0.76,0.36,0.75,0.41,0.4,0.31,0.4,0.46,0.31,0.27,0.31,0.29,0.25
a_1,0.77,0.68,0.67,0.64,0.43,0.3,0.39,0.41,0.39,0.31,0.33,0.39,0.31,0.42,0.28,0.3
h_1,0.7,0.61,0.59,0.63,0.58,0.57,0.24,0.36,0.28,0.29,0.3,0.28,0.29,0.26,0.26,0.28
g_1,0.65,0.65,0.62,0.64,0.61,0.61,0.29,0.22,0.28,0.27,0.29,0.29,0.2,0.31,0.25,0.29
d_0,0.59,0.41,0.77,0.8,0.69,0.56,0.38,0.36,0.24,0.24,0.31,0.32,0.26,0.31,0.29,0.33
c_0,0.64,0.67,0.93,0.42,0.6,0.6,0.33,0.35,0.39,0.22,0.31,0.29,0.27,0.38,0.26,0.35
b_0,0.65,0.62,0.86,0.55,0.76,0.63,0.33,0.29,0.29,0.16,0.21,0.25,0.22,0.3,0.21,0.25
f_0,0.82,0.61,0.65,0.57,0.64,0.61,0.36,0.25,0.29,0.26,0.3,0.21,0.25,0.28,0.17,0.34
h_0,0.71,0.6,0.65,0.6,0.6,0.54,0.34,0.34,0.29,0.25,0.28,0.24,0.28,0.29,0.24,0.26
a_0,0.6,0.59,0.68,0.64,0.86,0.73,0.33,0.28,0.27,0.21,0.18,0.27,0.23,0.19,0.22,0.28
g_0,0.68,0.62,0.63,0.63,0.6,0.56,0.29,0.37,0.28,0.24,0.26,0.31,0.21,0.28,0.27,0.29
e_0,0.83,0.62,0.64,0.57,0.73,0.78,0.38,0.27,0.27,0.22,0.28,0.16,0.24,0.23,0.2,0.17
