,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.02,0.9,0.76,0.84,0.66,0.53,0.6,0.37,0.52,0.48,0.37,0.35,0.33,0.28,0.38
f_1,0.99,1.0,1.31,0.89,0.77,0.62,0.45,0.4,0.44,0.46,0.38,0.29,0.29,0.31,0.33,0.26
e_1,1.11,0.76,1.0,1.03,0.97,0.79,0.48,0.44,0.45,0.59,0.44,0.47,0.38,0.35,0.36,0.32
c_1,1.32,1.12,0.96,1.0,1.47,0.72,0.42,0.35,0.43,0.33,0.32,0.37,0.39,0.33,0.35,0.37
b_1,1.19,1.3,1.04,0.68,1.0,1.38,0.66,0.52,0.54,0.43,0.54,0.49,0.43,0.37,0.4,0.37
a_1,1.49,1.6,1.27,1.42,0.73,1.0,0.75,0.64,0.66,0.57,0.64,0.62,0.6,0.46,0.54,0.37
h_1,1.83,2.25,2.05,2.35,1.48,1.34,1.0,0.85,1.18,0.83,0.76,0.83,0.72,0.63,0.74,0.56
c_0,1.71,2.36,2.28,2.6,1.73,1.63,1.18,1.0,1.18,1.11,1.39,0.86,0.86,0.94,0.8,0.73
g_1,2.68,2.47,2.11,2.25,1.81,1.43,0.85,0.88,1.0,0.83,0.81,0.98,0.72,0.74,0.71,0.64
d_0,2.08,2.25,1.69,2.99,2.33,1.6,1.2,0.9,1.21,1.0,1.04,0.84,0.82,0.78,0.72,0.64
b_0,2.12,2.63,2.2,3.14,2.03,1.67,1.33,0.76,1.22,1.0,1.0,1.11,0.96,1.19,0.8,0.83
f_0,2.71,3.08,2.03,2.81,2.18,1.66,1.2,1.14,1.05,1.15,0.94,1.0,0.97,1.07,0.68,1.24
h_0,2.85,3.32,2.57,2.66,2.42,1.65,1.4,1.18,1.38,1.19,1.04,1.05,1.0,0.87,1.08,0.83
a_0,2.98,3.45,2.8,3.18,2.65,1.89,1.64,1.1,1.38,1.46,0.82,1.05,1.15,1.0,1.02,0.98
g_0,3.75,2.94,2.87,3.04,2.4,1.88,1.33,1.3,1.37,1.29,1.16,1.49,0.92,0.93,1.0,1.11
e_0,2.75,4.01,3.26,2.61,2.62,2.64,1.77,1.41,1.54,1.63,1.14,0.82,1.12,1.03,0.84,1.0
